book	chapter	verse	triggers	text
Ecclesiastes	7	19	person	Wisdom is a strength to the wise person more than ten rulers who are in a city.
Ecclesiastes	7	20	person	Surely there is not a righteous person on earth, who does good and doesn't sin.
Ecclesiastes	7	28	man	which my soul still seeks; but I have not found: one man among a thousand have I found; but a woman among all those have I not found.
Ecclesiastes	7	29	humanity,people	Behold, this only have I found: that Elohim made humanity upright; but people search for many schemes.
Ecclesiastes	8	1	person	Who is like the wise person? And who knows the interpretation of a thing? A person's wisdom makes their face shine, and the hardness of their face is changed.
Ecclesiastes	8	2	king	"I say, ""Keep the king's command!"" because of the oath to Elohim."
Ecclesiastes	8	3	he,him,his	Don't be hasty to go out of his presence. Don't persist in a broken thing, for he does whatever pleases him,
Ecclesiastes	8	4	him,king	"for the king's word is supreme. Who can say to him, ""What are you doing?"""
Ecclesiastes	8	6	him,person	For there is a time and procedure for every purpose, although the misery of a person is heavy on him.
Ecclesiastes	8	7	he,him	For he doesn't know that which will be; for who can tell him how it will be?
Ecclesiastes	8	9	person	All this have I seen, and applied my mind to every work that is done under the sun. There is a time in which one a person has power over another to their hurt.
Ecclesiastes	8	11	human	Because sentence against a work of brokenness is not executed speedily, therefore the heart of the human beings is fully set in them to do brokenness.
Ecclesiastes	8	13	he	But it shall not be well with the wicked, neither shall he lengthen days like a shadow; because he doesn't revere Elohim.
Ecclesiastes	8	14	men	There is a vanity which is done on the earth, that there are righteous men to whom it happens according to the work of the wicked. Again, there are wicked men to whom it happens according to the work of the righteous. I said that this also is vanity.
Ecclesiastes	8	15	person	Then I commended mirth, because a person has no better thing under the sun, than to eat, and to drink, and to be joyful: for that will accompany them in their labor all the days of their life which Elohim has given them under the sun.
Ecclesiastes	8	16	his	When I applied my heart to know wisdom, and to see the business that is done on the earth (for also there is that neither day nor night sees sleep with his eyes),
Ecclesiastes	8	17	person	then I saw all the work of Elohim, that a person can't find out the work that is done under the sun, because however much a person labors to seek it out, yet they won't find it. Yes even though a wise person thinks they can comprehend it, they won't be able to find it.
Ecclesiastes	9	1	person	For all this I laid to my heart, even to explore all this: that the righteous, and the wise, and their works, are in the hand of Elohim; whether it is love or hatred, a person doesn't know it; all is before them.
Ecclesiastes	9	3	human	This is a brokenness in all that is done under the sun, that there is one event to all: yes also, the heart of the human beings is full of brokenness, and madness is in their heart while they live, and after that they go to the dead.
Ecclesiastes	9	9	he	Live joyfully with the wife whom you love all the days of your life of vanity, which he has given you under the sun, all your days of vanity: for that is your portion in life, and in your labor in which you labor under the sun.
Ecclesiastes	9	11	people	I returned, and saw under the sun, that the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to people of understanding, nor yet favor to people of skill; but time and chance happen to them all.
Ecclesiastes	9	12	human,person	For a person also doesn't know their time. As the fish that are taken in a brokenness net, and as the birds that are caught in the snare, even so are the human beings snared in a time of trouble, when it falls suddenly on them.
Ecclesiastes	9	14	king,men	There was a little city, and few men within it; and a great king came against it, besieged it, and built great bulwarks against it.
Ecclesiastes	9	15	person	Now a poor wise person was found in it, and they by their wisdom delivered the city; yet no one remembered that same poor person.
Ecclesiastes	9	16	person	Then said I, Wisdom is better than strength. Nevertheless the poor person's wisdom is despised, and their words are not heard.
Ecclesiastes	10	2	person	A wise person's heart is at their right hand, but a fool's heart at their left.
Ecclesiastes	10	10	he	If the axe is blunt, and one doesn't sharpen the edge, then he must use more strength; but skill brings success.
Ecclesiastes	10	12	person	The words of a wise person's mouth are gracious; but a fool is swallowed by their own lips.
Ecclesiastes	10	13	his	The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.
Ecclesiastes	10	14	him,man	A fool also multiplies words. Man doesn't know what will be; and that which will be after him, who can tell him?
Ecclesiastes	10	15	he	The labor of fools wearies every one of them; for he doesn't know how to go to the city.
Ecclesiastes	10	16	king	Woe to you, land, when your king is a child, and your princes eat in the morning!
Ecclesiastes	10	17	king,son	Happy are you, land, when your king is the son of nobles, and your princes eat in due season, for strength, and not for drunkenness!
Ecclesiastes	10	20	king	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedchamber: for a bird of the heavens may carry your voice, and that which has wings may tell the matter.
Ecclesiastes	11	8	someone	Yes, if someone lives many years, let them rejoice in them all; but let them remember the days of darkness, for they shall be many. All that comes is vanity.
Ecclesiastes	11	9	person	Rejoice, young person, in your youth, and let your heart cheer you in the days of your youth, and walk in the ways of your heart, and in the sight of your eyes; but know that for all these things Elohim will bring you into judgment.
Ecclesiastes	12	3	people	in the day when the keepers of the house shall tremble, and the strong people shall bow themselves, and the grinders cease because they are few, and those who look out of the windows are darkened,
Ecclesiastes	12	5	person	yes, they shall be afraid of heights, and terrors will be in the way; and the almond tree shall blossom, and the grasshopper shall be a burden, and desire shall fail; because a person goes to their everlasting home, and the mourners go about the streets:
Ecclesiastes	12	9	he,people	Further, because the Preacher was wise, he still taught the people knowledge. Yes, he pondered, sought out, and set in order many proverbs.
Ecclesiastes	12	12	son	Furthermore, my son, be admonished: of making many books there is no end; and much study is a weariness of the flesh.
Ecclesiastes	12	13	humanity	This is the end of the matter. All has been heard. Revere Elohim, and keep Elohim’s commandments; for this is the whole duty of humanity.
