reference	book	chapter	verse	category	priority	signals	reason	text
Matthew 5:37	Matthew	5	37	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	But let your 'Yes' be 'Yes' and your 'No' be 'No.' Whatever is more than these is of the unripe one.
Matthew 5:39	Matthew	5	39	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	But I tell you, don't resist one who acts from unripeness; but whoever strikes you on your right cheek, turn to them the other also.
Matthew 5:45	Matthew	5	45	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	that you may be children of your Cosmic Parent who is in heaven. For he makes his sun to rise on the unripe and the good, and sends rain on the just and the unjust.
Matthew 6:23	Matthew	6	23	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	But if your eye is unripe, your whole body will be full of darkness. If therefore the light that is in you is darkness, how great is the darkness!
Matthew 6:34	Matthew	6	34	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	Therefore don't be anxious for tomorrow, for tomorrow will be anxious for itself. Each day's own unripeness is sufficient.
Matthew 7:11	Matthew	7	11	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	If you then, being unripe and still able to sour, know how to give good gifts to your children, how much more will your Cosmic Parent who is in heaven give good things to those who seek from him!
Matthew 7:17	Matthew	7	17	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	Even so, every good tree produces good fruit; but the corrupt tree produces unripe fruit.
Matthew 7:18	Matthew	7	18	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	A good tree can't produce unripe fruit, neither can a corrupt tree produce good fruit.
Matthew 8:9	Matthew	8	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"For I am also a person under authority, having under myself soldiers. I tell this one, 'Go,' and he goes; and tell another, 'Come,' and he comes; and tell my servant, 'Do this,' and he does it."""
Matthew 8:27	Matthew	8	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The men marveled, saying, ""What kind of a person is this, that even the wind and the sea obey him?"""
Matthew 9:2	Matthew	9	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Behold, they brought to him a person who was paralyzed, lying on a bed. Yeshua, seeing their faith, said to the paralytic, ""Son, cheer up! Your sins are forgiven you."""
Matthew 9:4	Matthew	9	4	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"Yeshua, knowing their thoughts, said, ""Why do you think unripeness in your hearts?"
Matthew 9:32	Matthew	9	32	GENERIC-HUMAN HIGH PRIORITY	HIGH	man who	Universal/generic human language is explicitly male-coded and should be checked against Greek/Aramaic context for inclusive rendering.	As they went out, behold, a mute man who was demon possessed was brought to him.
Matthew 11:3	Matthew	11	3	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"and said to him, ""Are you the one who comes, or should we look for another?"""
Matthew 12:10	Matthew	12	10	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"And behold there was a person with a withered hand. They asked him, ""Is it lawful to heal on the Sabbath day?"" that they might accuse him."
Matthew 12:18	Matthew	12	18	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"""Behold, my servant whom I have chosen; my beloved in whom my soul is well pleased: I will put my Ruach on him. He will proclaim justice to the nations."
Matthew 12:19	Matthew	12	19	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	He will not strive, nor shout; neither will anyone hear his voice in the streets.
Matthew 12:34	Matthew	12	34	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	You offspring of vipers, how can you, being unripe, speak good things? For out of the abundance of the heart, the mouth speaks.
Matthew 12:35	Matthew	12	35	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	The good person out of their good treasure brings out good things, and the unripe person out of their unripe treasure brings out unripe things.
Matthew 12:39	Matthew	12	39	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"But he answered them, ""An unripe and adulterous generation seeks after a sign, but no sign will be given it but the sign of Yonah the prophet."
Matthew 12:45	Matthew	12	45	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"Then he goes, and takes with himself seven other spirits more unripe than he is, and they enter in and dwell there. The last state of that person becomes worse than the first. Even so will it be also to this unripe generation."""
Matthew 12:48	Matthew	12	48	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But he answered the one who spoke to him, ""Who is my mother? Who are my brothers?"""
Matthew 13:19	Matthew	13	19	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	When anyone hears the word of the reign, and doesn't understand it, the unripe one comes, and snatches away that which has been sown in their heart. This is what was sown by the roadside.
Matthew 13:24	Matthew	13	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He set another parable before them, saying, ""The reign of the heavens is like a person who sowed good seed in their field,"
Matthew 13:37	Matthew	13	37	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He answered them, ""The one who sows the good seed is the Human One,"
Matthew 13:38	Matthew	13	38	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	the field is the world; and the good seed, these are the children of the reign; and the darnel weeds are the children of the unripe one.
Matthew 13:52	Matthew	13	52	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He said to them, ""Therefore, every scribe who has been made a disciple in the reign of the heavens is like a person who is a householder, who brings out of their treasure new and old things."""
Matthew 15:19	Matthew	15	19	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	For out of the heart come forth unripe thoughts, murders, adulteries, sexual sins, thefts, false testimony, and blasphemies.
Matthew 15:24	Matthew	15	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But he answered, ""I wasn't sent to anyone but the lost sheep of the house of Israel."""
Matthew 16:4	Matthew	16	4	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"An unripe and adulterous generation seeks after a sign, and there will be no sign given to it, except the sign of the prophet Yonah."" He left them, and departed."
Matthew 16:24	Matthew	16	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Then Yeshua said to his disciples, ""If anyone desires to come after me, let them deny themselves, and take up their cross, and follow me."
Matthew 16:27	Matthew	16	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	For the Human One will come in the glory of his Cosmic Parent with his angels, and then he will render to everyone according to their deeds.
Matthew 17:14	Matthew	17	14	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When they came to the multitude, a person came to him, kneeling down to him, saying,
Matthew 18:24	Matthew	18	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When they had begun to reconcile, one was brought to the one who owed him ten thousand talents.
Matthew 19:4	Matthew	19	4	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He answered, ""Haven't you read that the one who made them from the beginning made them male and female,"
Matthew 19:9	Matthew	19	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	whoever; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"I tell you that whoever divorces his wife, except for sexual immorality, and marries another, commits adultery; and the one who marries her when she is divorced commits adultery."""
Matthew 20:15	Matthew	20	15	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	Isn't it lawful for me to do what I want to with what I own? Or is your eye unripeness, because I am good?'
Matthew 21:9	Matthew	21	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The multitudes who went before him, and who followed kept shouting, ""Hosanna to the son of Dawid! Blessed is the one who comes in the name of YHWH! Hosanna in the highest!"""
Matthew 22:11	Matthew	22	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	But when the king came in to see the guests, he saw there a person who didn't have on wedding clothing,
Matthew 22:16	Matthew	22	16	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They sent their disciples to him, along with the Herodians, saying, ""Teacher, we know that you are honest, and teach the way of Elohim in truth, no matter who you teach, for you aren't partial to anyone."
Matthew 22:24	Matthew	22	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"saying, ""Teacher, Moshe said, 'If someone dies, having no children, his brother shall marry his wife, and raise up seed for his brother.'"
Matthew 22:46	Matthew	22	46	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	No one was able to answer him a word, neither did anyone dare ask him any more questions from that day forth.
Matthew 24:48	Matthew	24	48	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	But if that unripe servant should say in his heart, 'My master is delaying his coming,'
Matthew 25:28	Matthew	25	28	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Take away therefore the talent from him, and give it to the one who has the ten talents.
Matthew 26:48	Matthew	26	48	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Now the one who betrayed him gave them a sign, saying, ""Whoever I kiss, they are the one. Seize him."""
Matthew 26:71	Matthew	26	71	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"When they had gone out onto the porch, someone else saw him, and said to those who were there, ""This man also was with Yeshua of Natzeret."""
Matthew 27:32	Matthew	27	32	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	As they came out, they found a person of Kyrene, Shimon by name, and they compelled him to go with them, that they might carry his cross.
Matthew 27:43	Matthew	27	43	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"He trusts in Elohim. Let Elohim deliver him now, if Elohim wants him; for he said, 'I am the Son of Elohim.'"""
Mark 1:37	Mark	1	37	GENERIC PRONOUN HIGH PRIORITY	HIGH	Everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"and they found him, and told him, ""Everyone is looking for you."""
Mark 5:2	Mark	5	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When they had come out of the boat, immediately there met him out of the tombs a person with an unclean spirit,
Mark 5:18	Mark	5	18	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	As they were entering into the boat, the one who had been possessed by demons begged him that they might be with him.
Mark 7:18	Mark	7	18	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He said to them, ""Are you thus without understanding also? Don't you perceive that whatever goes into a person from outside can't defile them,"
Mark 7:21	Mark	7	21	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	For from within, out of the hearts of people, proceed unripe thoughts, adulteries, sexual sins, murders, thefts,
Mark 7:22	Mark	7	22	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	covetings, wickedness, deceit, lustful desires, an unripe eye, blasphemy, pride, and foolishness.
Mark 7:23	Mark	7	23	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"All these unripe things come from within, and defile the person."""
Mark 7:24	Mark	7	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	From there he arose, and went away into the borders of Tzor and Tzidon. They entered into a house, and didn't want anyone to know it, but they couldn't escape notice.
Mark 7:32	Mark	7	32	GENERIC PRONOUN HIGH PRIORITY	HIGH	one who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	They brought to him one who was deaf and had an impediment in their speech. They begged him to lay his hand on him.
Mark 8:25	Mark	8	25	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Then again he laid his hands on his eyes. They looked intently, and was restored, and saw everyone clearly.
Mark 8:26	Mark	8	26	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They sent him away to their house, saying, ""Don't enter into the village, nor tell anyone in the village."""
Mark 9:23	Mark	9	23	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua said to him, ""If you can trust, all things are possible to the one who believes."""
Mark 9:35	Mark	9	35	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He sat down, and called the twelve; and they said to them, ""If anyone wants to be first, they shall be last of all, and servant of all."""
Mark 9:38	Mark	9	38	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yochanan said to him, ""Teacher, we saw someone who doesn't follow us casting out demons in your name; and we forbade them, because they don't follow us."""
Mark 9:39	Mark	9	39	GENERIC PRONOUN HIGH PRIORITY	HIGH	one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But Yeshua said, ""Don't forbid him, for there is no one who will do a mighty work in my name, and be able quickly to speak harmfully of me."
Mark 10:11	Mark	10	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They said to them, ""Whoever divorces his wife, and marries another, commits adultery against her."
Mark 11:3	Mark	11	3	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"If anyone asks you, 'Why are you doing this?' say, 'The Master needs him;' and immediately he will send him back here."""
Mark 12:1	Mark	12	1	GENERIC PRONOUN HIGH PRIORITY	HIGH	A person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He began to speak to them in parables. ""A person planted a vineyard, put a hedge around it, dug a pit for the winepress, built a tower, rented it out to a farmer, and went into another country."
Mark 12:14	Mark	12	14	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"When they had come, they asked him, ""Teacher, we know that you are honest, and don't defer to anyone; for you aren't partial to anyone, but truly teach the way of Elohim. Is it lawful to pay taxes to Caesar, or not?"
Mark 12:19	Mark	12	19	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""Teacher, Moshe wrote to us, 'If someone's brother dies, and leaves a wife behind him, and leaves no children, that their brother should take his wife, and raise up offspring for his brother.'"
Mark 14:13	Mark	14	13	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They sent two of their disciples, and said to them, ""Go into the city, and there you will meet a person carrying a pitcher of water. Follow him,"
Mark 14:44	Mark	14	44	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Now the one who betrayed him had given them a sign, saying, ""Whoever I will kiss, that is they. Seize him, and lead him away safely."""
Mark 15:43	Mark	15	43	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Yosef of Arimathaea, a prominent council member who also himself was looking for the reign of Elohim, came. He boldly went in to Pilatus, and asked for Yeshua' body.
Luke 1:15	Luke	1	15	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject; next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	For he will be great in the sight of God, and he will drink no wine nor strong drink. He will be filled with the Ruach of Elohim, even from his mother's womb.
Luke 1:49	Luke	1	49	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	For the one who is mighty has done great things for me. Holy is his name.
Luke 2:25	Luke	2	25	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Behold, there was a person in Yerushalayim whose name was Shimon. This man was righteous and devout, looking for the consolation of Israel, and the Ruach of Elohim was on him.
Luke 2:26	Luke	2	26	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	It had been revealed to him by the Ruach of Elohim that he should not see death before he had seen the Master's Messiah.
Luke 3:11	Luke	3	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He answered them, ""The one who has two coats, let them give to the one who has none. The one who has food, let them do likewise."""
Luke 3:14	Luke	3	14	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Soldiers also asked him, saying, ""What about us? What must we do?"" He said to them, ""Extort from no one by violence, neither accuse anyone wrongfully. Be content with your wages."""
Luke 3:19	Luke	3	19	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	but Herodes the tetrarch, being reproved by him for Herodias, his brother's wife, and for all the unripe things which Herodes had done,
Luke 4:4	Luke	4	4	GENERIC PRONOUN HIGH PRIORITY	HIGH	A person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua answered him, saying, ""It is written, 'A person shall not live by bread alone, but by every word of Elohim.'"""
Luke 4:18	Luke	4	18	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject; next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"""The Ruach of YHWH is on me, because he has anointed me to proclaim good news to the poor. He has sent me to heal the brokenhearted, to proclaim release to the captives, recovery of sight to the blind, and to send the crushed away into freedom,"
Luke 5:1	Luke	5	1	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Now it happened, while the multitude pressed on him and heard the word of Elohim, that he was standing by the lake of Gennesaret.
Luke 5:12	Luke	5	12	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"It happened, while they were in one of the cities, behold, there was a person full of leprosy. When he saw Yeshua, he fell on his face, and begged him, saying, ""Master, if you want to, you can make me clean."""
Luke 6:6	Luke	6	6	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	It also happened on another Sabbath that he entered into the synagogue and taught. There was a person there, and their right hand was withered.
