reference	testament	decision_change	current_text	proposed_form	proposed_text	semantic_rationale	grammar_check	capitalization_check	spacing_punctuation_check	reviewed	approved	notes
Deuteronomy 17:1	OT	YES	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.	defective	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything defective; for that is an abomination to YHWH your God.	Physical sacrificial-defect context: defective is more precise than a moral abstraction.	PASS	PASS	PASS	☐	☐	
Deuteronomy 17:7	OT	YES	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.	brokenness	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 17:12	OT	YES	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.	brokenness	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 19:19	OT	YES	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.	brokenness	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 19:20	OT	YES	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.	brokenness	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 21:21	OT	YES	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.	brokenness	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 22:21	OT	YES	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.	brokenness	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 22:22	OT	YES	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.	brokenness	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 22:24	OT	YES	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.	brokenness	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 24:7	OT	YES	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.	brokenness	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 30:15	OT	YES	Behold, I have set before you this day life and good, and death and evil;	brokenness	Behold, I have set before you this day life and good, and death and brokenness;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 31:18	OT	YES	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.	brokenness	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Judges 20:13	OT	YES	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	brokenness	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
1 Samuel 6:9	OT	YES	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	harm	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great harm: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Samuel 12:19	OT	YES	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.	brokenness	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
1 Samuel 12:20	OT	YES	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	brokenness	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
1 Samuel 24:11	OT	YES	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	wrongdoing	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither wrongdoing nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Samuel 24:17	OT	YES	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.	harm	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you harm.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Samuel 25:21	OT	YES	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.	harm	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me harm for good.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Samuel 25:26	OT	YES	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.	harm	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek harm to my lord, be as Nabal.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Samuel 12:9	OT	YES	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	wrong	Why have you despised the word of YHWH, to do that which is wrong in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Kings 3:9	OT	YES	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?	brokenness	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
1 Kings 16:7	OT	YES	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	brokenness	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
1 Kings 22:8	OT	YES	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""	disaster	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but disaster. Yehoshafat said, ""Don't let the king say so."""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
1 Kings 22:18	OT	YES	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	disaster	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but disaster?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Kings 8:12	OT	YES	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	harm	Hazael said, Why weeps my lord? He answered, Because I know the harm that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Kings 21:9	OT	YES	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.	wrong	But they didn't listen: and Menashe seduced them to do that which is wrong more than did the nations whom YHWH destroyed before the children of Israel.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Kings 25:27	OT	NO	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, on the seven and twentieth day of the month, that Evilmerodach king of Bavel, in the year that he began to reign, did lift up the head of Jehoiachin king of Yehudah out of prison;	retain proper name Evilmerodach	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, on the seven and twentieth day of the month, that Evilmerodach king of Bavel, in the year that he began to reign, did lift up the head of Jehoiachin king of Yehudah out of prison;	Proper name, not the lexical word “evil.” Keep unchanged in this terminology audit; any original-name restoration belongs in the separate name workflow.	PASS	PASS	PASS	☐	☐	False positive for evil-family substring matching.
2 Chronicles 7:22	OT	YES	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.	calamity	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this calamity on them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Chronicles 18:7	OT	YES	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	disaster	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always disaster: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
2 Chronicles 18:17	OT	YES	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	disaster	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but disaster?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Nehemiah 13:7	OT	YES	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	wrong	and I came to Yerushalayim, and understood the wrong that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Nehemiah 13:27	OT	YES	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?	brokenness	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Job 30:26	OT	YES	When I looked for good, then evil came; When I waited for light, there came darkness.	adversity	When I looked for good, then adversity came; When I waited for light, there came darkness.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Job 31:29	OT	YES	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"	calamity	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when calamity found him;"	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 5:4	OT	YES	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.	Brokenness	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 7:4	OT	YES	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	harm	if I have rewarded harm to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 15:3	OT	YES	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;	harm	The one who doesn't slander with their tongue, nor does harm to their friend, nor casts slurs against their fellow man;	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 23:4	OT	YES	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.	harm	Even though I walk through the valley of the shadow of death, I will fear no harm, for you are with me. Your rod and your staff, they comfort me.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 34:21	OT	YES	evil shall kill the wicked. Those who hate the righteous shall be condemned.	Brokenness	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 35:12	OT	YES	They reward me evil for good, to the bereaving of my soul.	harm	They reward me harm for good, to the bereaving of my soul.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 36:4	OT	YES	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.	brokenness	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 37:8	OT	YES	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.	brokenness	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 37:19	OT	YES	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.	adversity	They shall not be disappointed in the time of adversity. In the days of famine they shall be satisfied.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 38:20	OT	YES	They who also render evil for good are adversaries to me, because I follow what is good.	harm	They who also render harm for good are adversaries to me, because I follow what is good.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 41:1	OT	YES	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.	trouble	Blessed is the one who considers the poor. YHWH will deliver them in the day of trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 49:5	OT	YES	Why should I fear in the days of evil, when iniquity at my heels surrounds me?	trouble	Why should I fear in the days of trouble, when iniquity at my heels surrounds me?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 50:19	OT	YES	"""You give your mouth to evil. Your tongue frames deceit."	brokenness	"""You give your mouth to brokenness. Your tongue frames deceit."	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 51:4	OT	YES	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.	wrong	Against you, and you only, have I sinned, and done that which is wrong in your sight; that you may be proved right when you speak, and justified when you judge.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 52:3	OT	YES	You love evil more than good, lying rather than speaking the truth. Selah.	brokenness	You love brokenness more than good, lying rather than speaking the truth. Selah.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 54:5	OT	YES	YHWH will repay the evil to my enemies. Destroy them in your truth.	harm	YHWH will repay the harm to my enemies. Destroy them in your truth.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 56:5	OT	YES	All day long they twist my words. All their thoughts are against me for evil.	harm	All day long they twist my words. All their thoughts are against me for harm.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 64:5	OT	YES	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""	harmful	"They encourage themselves in harmful plans. They talk about laying snares secretly. They say, ""Who will see them?"""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 74:3	OT	YES	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.	harm	Lift up your feet to the perpetual ruins, all the harm that the enemy has done in the sanctuary.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 78:49	OT	YES	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.	destruction	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 90:15	OT	YES	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.	adversity	Make us glad for as many days as you have afflicted us, for as many years as we have seen adversity.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 91:10	OT	YES	no evil shall happen to you, neither shall any plague come near your dwelling.	harm	no harm shall happen to you, neither shall any plague come near your dwelling.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 97:10	OT	YES	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	brokenness	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 101:4	OT	YES	A perverse heart will be far from me. I will have nothing to do with evil.	brokenness	A perverse heart will be far from me. I will have nothing to do with brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Psalms 140:8	OT	YES	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.	harmful	YHWH, don't grant the desires of the wicked. Don't let their harmful plans succeed, or they will become proud. Selah.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Psalms 140:11	OT	YES	A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.	calamity	A malicious speaker won't be established in the earth. Calamity will hunt the violent person to overthrow them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 1:16	OT	YES	for their feet run to evil. They hurry to shed blood.	harm	for their feet run to harm. They hurry to shed blood.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 2:12	OT	YES	to deliver you from the way of evil, from the people who speak perverse things;	brokenness	to deliver you from the way of brokenness, from the people who speak perverse things;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 2:14	OT	YES	who rejoice to do wrong, and delight in the perverseness of evil;	brokenness	who rejoice to do wrong, and delight in the perverseness of brokenness;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 8:13	OT	YES	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.	brokenness	Reverence for YHWH is to hate brokenness. I hate pride, arrogance, the wrong way, and the perverse mouth.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 11:19	OT	YES	The one who is truly righteous gets life. The one who pursues evil gets death.	brokenness	The one who is truly righteous gets life. The one who pursues brokenness gets death.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
