reference	testament	book	chapter	verse	evil_family_forms	standalone_evil_count	compound_evil_count	compound_forms	current_text
2 Chronicles 18:7	OT	2 Chronicles	18	7	evil	1	0		The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.
2 Chronicles 18:17	OT	2 Chronicles	18	17	evil	1	0		The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
Nehemiah 13:7	OT	Nehemiah	13	7	evil	1	0		and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.
Nehemiah 13:27	OT	Nehemiah	13	27	evil	1	0		Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?
Job 30:26	OT	Job	30	26	evil	1	0		When I looked for good, then evil came; When I waited for light, there came darkness.
Job 31:29	OT	Job	31	29	evil	1	0		"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"
Psalms 5:4	OT	Psalms	5	4	evil	1	0		For you are not an Elohim who has pleasure in wickedness. evil can't live with you.
Psalms 7:4	OT	Psalms	7	4	evil	1	0		if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),
Psalms 15:3	OT	Psalms	15	3	evil	1	0		The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;
Psalms 23:4	OT	Psalms	23	4	evil	1	0		Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.
Psalms 34:21	OT	Psalms	34	21	evil	1	0		evil shall kill the wicked. Those who hate the righteous shall be condemned.
Psalms 35:12	OT	Psalms	35	12	evil	1	0		They reward me evil for good, to the bereaving of my soul.
Psalms 36:4	OT	Psalms	36	4	evil	1	0		They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.
Psalms 37:8	OT	Psalms	37	8	evil	1	0		Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.
Psalms 37:19	OT	Psalms	37	19	evil	1	0		They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.
Psalms 38:20	OT	Psalms	38	20	evil	1	0		They who also render evil for good are adversaries to me, because I follow what is good.
Psalms 41:1	OT	Psalms	41	1	evil	1	0		Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.
Psalms 49:5	OT	Psalms	49	5	evil	1	0		Why should I fear in the days of evil, when iniquity at my heels surrounds me?
Psalms 50:19	OT	Psalms	50	19	evil	1	0		"""You give your mouth to evil. Your tongue frames deceit."
Psalms 51:4	OT	Psalms	51	4	evil	1	0		Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.
Psalms 52:3	OT	Psalms	52	3	evil	1	0		You love evil more than good, lying rather than speaking the truth. Selah.
Psalms 54:5	OT	Psalms	54	5	evil	1	0		YHWH will repay the evil to my enemies. Destroy them in your truth.
Psalms 56:5	OT	Psalms	56	5	evil	1	0		All day long they twist my words. All their thoughts are against me for evil.
Psalms 64:5	OT	Psalms	64	5	evil	1	0		"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""
Psalms 74:3	OT	Psalms	74	3	evil	1	0		Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.
Psalms 78:49	OT	Psalms	78	49	evil	1	0		Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.
Psalms 90:15	OT	Psalms	90	15	evil	1	0		Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.
Psalms 91:10	OT	Psalms	91	10	evil	1	0		no evil shall happen to you, neither shall any plague come near your dwelling.
Psalms 97:10	OT	Psalms	97	10	evil	1	0		You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.
Psalms 101:4	OT	Psalms	101	4	evil	1	0		A perverse heart will be far from me. I will have nothing to do with evil.
Psalms 140:8	OT	Psalms	140	8	evil	1	0		YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.
Psalms 140:11	OT	Psalms	140	11	evil	1	0		A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.
Proverbs 1:16	OT	Proverbs	1	16	evil	1	0		for their feet run to evil. They hurry to shed blood.
Proverbs 2:12	OT	Proverbs	2	12	evil	1	0		to deliver you from the way of evil, from the people who speak perverse things;
Proverbs 2:14	OT	Proverbs	2	14	evil	1	0		who rejoice to do wrong, and delight in the perverseness of evil;
Proverbs 8:13	OT	Proverbs	8	13	evil	1	0		Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.
Proverbs 11:19	OT	Proverbs	11	19	evil	1	0		The one who is truly righteous gets life. The one who pursues evil gets death.
Proverbs 11:27	OT	Proverbs	11	27	evil	1	0		The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.
Proverbs 12:21	OT	Proverbs	12	21	evil	1	0		No mischief shall happen to the righteous, but the wicked shall be filled with evil.
Proverbs 14:16	OT	Proverbs	14	16	evil	1	0		A wise person fears, and shuns evil, but the fool is hotheaded and reckless.
Proverbs 15:3	OT	Proverbs	15	3	evil	1	0		YHWH's eyes are everywhere, keeping watch on the evil and the good.
Proverbs 15:28	OT	Proverbs	15	28	evil	1	0		The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.
Proverbs 16:4	OT	Proverbs	16	4	evil	1	0		YHWH has made everything for its own end--yes, even the wicked for the day of evil.
Proverbs 16:30	OT	Proverbs	16	30	evil	1	0		One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.
Proverbs 17:13	OT	Proverbs	17	13	evil	2	0		Whoever rewards evil for good, evil shall not depart from their house.
Proverbs 20:8	OT	Proverbs	20	8	evil	1	0		A king who sits on the throne of judgment scatters away all evil with his eyes.
Proverbs 20:22	OT	Proverbs	20	22	evil	1	0		"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."
Proverbs 20:30	OT	Proverbs	20	30	evil	1	0		Wounding blows cleanse away evil, and beatings purge the innermost parts.
Proverbs 21:10	OT	Proverbs	21	10	evil	1	0		The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.
Isaiah 5:20	OT	Isaiah	5	20	evil	2	0		Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!
Isaiah 7:15	OT	Isaiah	7	15	evil	1	0		He shall eat butter and honey when he knows to refuse the evil, and choose the good.
Isaiah 7:16	OT	Isaiah	7	16	evil	1	0		For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.
Isaiah 13:11	OT	Isaiah	13	11	evil	1	0		I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.
Isaiah 32:7	OT	Isaiah	32	7	evil	1	0		The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.
Isaiah 33:15	OT	Isaiah	33	15	evil	1	0		The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--
Isaiah 56:2	OT	Isaiah	56	2	evil	1	0		Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.
Isaiah 59:7	OT	Isaiah	59	7	evil	1	0		Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.
Jeremiah 1:14	OT	Jeremiah	1	14	evil	1	0		Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.
Jeremiah 2:13	OT	Jeremiah	2	13	evil	1	0		For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.
Jeremiah 4:6	OT	Jeremiah	4	6	evil	1	0		Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.
Jeremiah 4:15	OT	Jeremiah	4	15	evil	1	0		For a voice declares from Dan, and publishes evil from the hills of Efrayim:
Jeremiah 5:12	OT	Jeremiah	5	12	evil	1	0		They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:
Jeremiah 11:17	OT	Jeremiah	11	17	evil	1	0		For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.
Jeremiah 15:11	OT	Jeremiah	15	11	evil	1	0		YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.
Jeremiah 17:17	OT	Jeremiah	17	17	evil	1	0		Don't be a terror to me: you are my refuge in the day of evil.
Jeremiah 17:18	OT	Jeremiah	17	18	evil	1	0		Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.
Jeremiah 18:8	OT	Jeremiah	18	8	evil	2	0		if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.
Jeremiah 18:20	OT	Jeremiah	18	20	evil	1	0		Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.
Jeremiah 42:6	OT	Jeremiah	42	6	evil	1	0		Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.
Jeremiah 44:2	OT	Jeremiah	44	2	evil	1	0		Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,
Jeremiah 44:11	OT	Jeremiah	44	11	evil	1	0		Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.
Jeremiah 44:17	OT	Jeremiah	44	17	evil	1	0		But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.
Jeremiah 51:24	OT	Jeremiah	51	24	evil	1	0		I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.
Jeremiah 52:31	OT	Jeremiah	52	31	evilmerodach	0	1	evilmerodach	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, in the five and twentieth day of the month, that Evilmerodach king of Bavel, in the [first] year of his reign, lifted up the head of Jehoiachin king of Yehudah, and brought him forth out of prison;
Ezekiel 6:10	OT	Ezekiel	6	10	evil	1	0		They shall know that I am YHWH: I have not said in vain that I would do this evil to them.
Ezekiel 6:11	OT	Ezekiel	6	11	evil	1	0		Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.
Ezekiel 38:10	OT	Ezekiel	38	10	evil	1	0		Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:
Amos 5:14	OT	Amos	5	14	evil	1	0		Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.
Amos 5:15	OT	Amos	5	15	evil	1	0		"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""
Micah 3:4	OT	Micah	3	4	evil	1	0		"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""
Micah 7:3	OT	Micah	7	3	evil	1	0		Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.
Habakkuk 1:13	OT	Habakkuk	1	13	evil	1	0		You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,
Habakkuk 2:9	OT	Habakkuk	2	9	evil	1	0		Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!
Zephaniah 3:15	OT	Zephaniah	3	15	evil	1	0		YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.
Zechariah 1:4	OT	Zechariah	1	4	evil	1	0		Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your evil doings;' but they did not hear, nor listen to me, says YHWH.
Malachi 1:8	OT	Malachi	1	8	evil	2	0		"When you offer the blind for sacrifice, isn't that evil? And when you offer the lame and sick, isn't that evil? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."
Malachi 2:17	OT	Malachi	2	17	evil	1	0		You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does evil is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'
