reference	testament	current_verse	change_evil	proposed_form	proposed_verse	semantic_rationale	grammar_check	capitalization_check	spacing_punctuation_check	historical_pre_cleanup_text	reviewed	approved	editor_notes
Deuteronomy 17:7	OT	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.	YES	brokenness	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	☐	☐	
Deuteronomy 17:12	OT	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.	YES	brokenness	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	☐	☐	
Deuteronomy 19:19	OT	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.	YES	brokenness	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	☐	☐	
Deuteronomy 19:20	OT	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.	YES	brokenness	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	☐	☐	
Deuteronomy 21:21	OT	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.	YES	brokenness	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	☐	☐	
Deuteronomy 22:21	OT	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.	YES	brokenness	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	☐	☐	
Deuteronomy 22:22	OT	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.	YES	brokenness	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	☐	☐	
Deuteronomy 22:24	OT	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.	YES	brokenness	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	☐	☐	
Deuteronomy 24:7	OT	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.	YES	brokenness	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	If someone be found stealing any of their brothers of the children of Israel, and they deal with him as a slave, or sell him; then that thief shall die: so shall you put away the brokenness from the midst of you.	☐	☐	
Deuteronomy 30:15	OT	Behold, I have set before you this day life and good, and death and evil;	YES	brokenness	Behold, I have set before you this day life and good, and death and brokenness;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Behold, I have set before you this day life and good, and death and brokenness;	☐	☐	
Deuteronomy 31:18	OT	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.	YES	brokenness	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	☐	☐	
Judges 20:13	OT	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	YES	brokenness	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	☐	☐	
1 Samuel 6:9	OT	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	YES	harm	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great harm: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great brokenness: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	☐	☐	
1 Samuel 12:19	OT	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.	YES	brokenness	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	☐	☐	
1 Samuel 12:20	OT	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	YES	brokenness	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	☐	☐	
1 Samuel 24:11	OT	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	YES	wrongdoing	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither wrongdoing nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither brokenness nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	☐	☐	
1 Samuel 24:17	OT	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.	YES	harm	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you harm.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you brokenness.	☐	☐	
1 Samuel 25:21	OT	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.	YES	harm	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me harm for good.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me brokenness for good.	☐	☐	
1 Samuel 25:26	OT	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.	YES	harm	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek harm to my lord, be as Nabal.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek brokenness to my lord, be as Nabal.	☐	☐	
2 Samuel 12:9	OT	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	YES	wrong	Why have you despised the word of YHWH, to do that which is wrong in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	Why have you despised the word of YHWH, to do that which is brokenness in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	☐	☐	
1 Kings 3:9	OT	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?	YES	brokenness	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	☐	☐	
1 Kings 16:7	OT	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	YES	brokenness	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	☐	☐	
1 Kings 22:8	OT	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""	YES	disaster	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but disaster. Yehoshafat said, ""Don't let the king say so."""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but brokenness. Yehoshafat said, ""Don't let the king say so."""	☐	☐	
1 Kings 22:18	OT	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	YES	disaster	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but disaster?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	☐	☐	
2 Kings 8:12	OT	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	YES	harm	Hazael said, Why weeps my lord? He answered, Because I know the harm that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Hazael said, Why weeps my lord? He answered, Because I know the brokenness that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	☐	☐	
2 Kings 21:9	OT	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.	YES	wrong	But they didn't listen: and Menashe seduced them to do that which is wrong more than did the nations whom YHWH destroyed before the children of Israel.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	But they didn't listen: and Menashe seduced them to do that which is brokenness more than did the nations whom YHWH destroyed before the children of Israel.	☐	☐	
2 Chronicles 7:22	OT	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.	YES	calamity	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this calamity on them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this brokenness on them.	☐	☐	
2 Chronicles 18:7	OT	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	YES	disaster	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always disaster: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always brokenness: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	☐	☐	
2 Chronicles 18:17	OT	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	YES	disaster	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but disaster?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	☐	☐	
Nehemiah 13:7	OT	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	YES	wrong	and I came to Yerushalayim, and understood the wrong that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	and I came to Yerushalayim, and understood the brokenness that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	☐	☐	
Nehemiah 13:27	OT	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?	YES	brokenness	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	☐	☐	
Job 30:26	OT	When I looked for good, then evil came; When I waited for light, there came darkness.	YES	adversity	When I looked for good, then adversity came; When I waited for light, there came darkness.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	When I looked for good, then brokenness came; When I waited for light, there came darkness.	☐	☐	
Job 31:29	OT	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"	YES	calamity	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when calamity found him;"	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when brokenness found him;"	☐	☐	
Psalms 5:4	OT	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.	YES	Brokenness	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	☐	☐	
Psalms 7:4	OT	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	YES	harm	if I have rewarded harm to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	if I have rewarded brokenness to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	☐	☐	
Psalms 15:3	OT	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;	YES	harm	The one who doesn't slander with their tongue, nor does harm to their friend, nor casts slurs against their fellow man;	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;	☐	☐	
Psalms 23:4	OT	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.	YES	harm	Even though I walk through the valley of the shadow of death, I will fear no harm, for you are with me. Your rod and your staff, they comfort me.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Even though I walk through the valley of the shadow of death, I will fear no brokenness, for you are with me. Your rod and your staff, they comfort me.	☐	☐	
Psalms 34:21	OT	evil shall kill the wicked. Those who hate the righteous shall be condemned.	YES	Brokenness	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	☐	☐	
Psalms 35:12	OT	They reward me evil for good, to the bereaving of my soul.	YES	harm	They reward me harm for good, to the bereaving of my soul.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They reward me brokenness for good, to the bereaving of my soul.	☐	☐	
Psalms 36:4	OT	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.	YES	brokenness	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	☐	☐	
Psalms 37:8	OT	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.	YES	brokenness	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	☐	☐	
Psalms 37:19	OT	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.	YES	adversity	They shall not be disappointed in the time of adversity. In the days of famine they shall be satisfied.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They shall not be disappointed in the time of brokenness. In the days of famine they shall be satisfied.	☐	☐	
Psalms 38:20	OT	They who also render evil for good are adversaries to me, because I follow what is good.	YES	harm	They who also render harm for good are adversaries to me, because I follow what is good.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They who also render brokenness for good are adversaries to me, because I follow what is good.	☐	☐	
Psalms 41:1	OT	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.	YES	trouble	Blessed is the one who considers the poor. YHWH will deliver them in the day of trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Blessed is the one who considers the poor. YHWH will deliver them in the day of brokenness.	☐	☐	
