reference	testament	book	chapter	verse	matched_terms	current_text
1 Samuel 24:11	OT	1 Samuel	24	11	evil	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.
1 Samuel 24:17	OT	1 Samuel	24	17	evil	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.
1 Samuel 25:21	OT	1 Samuel	25	21	evil	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.
1 Samuel 25:26	OT	1 Samuel	25	26	evil	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.
2 Samuel 5:20	OT	2 Samuel	5	20	broken	Dawid came to Baal Perazim, and Dawid struck them there; and he said, YHWH has broken my enemies before me, like the breach of waters. Therefore he called the name of that place Baal Perazim.
2 Samuel 6:8	OT	2 Samuel	6	8	broken	Dawid was displeased, because YHWH had broken forth on Uzzah; and he called that place Peretz Uzzah, to this day.
2 Samuel 12:9	OT	2 Samuel	12	9	evil	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.
1 Kings 3:9	OT	1 Kings	3	9	evil	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?
1 Kings 5:9	OT	1 Kings	5	9	broken	My servants shall bring them down from Levanon to the sea; and I will make them into rafts to go by sea to the place that you shall appoint me, and will cause them to be broken up there, and you shall receive them; and you shall accomplish my desire, in giving food for my household.
1 Kings 11:6	OT	1 Kings	11	6	broken	Shlomo did what was broken in the sight of YHWH, and didn't go fully after YHWH, as did Dawid his father.
1 Kings 13:33	OT	1 Kings	13	33	broken	After this thing Yerovam didn't return from their broken way, but made again from among all the people priests of the high places: whoever would, they consecrated him, that there might be priests of the high places.
1 Kings 14:22	OT	1 Kings	14	22	broken	Yehudah did what was broken in the sight of YHWH, and they provoked him to jealousy with their sins which they committed, above all that their fathers had done.
1 Kings 15:26	OT	1 Kings	15	26	broken	He did what was broken in the sight of YHWH, and walked in the way of his father, and in his sin with which he made Israel to sin.
1 Kings 15:34	OT	1 Kings	15	34	broken	He did what was broken in the sight of YHWH, and walked in the way of Yerovam, and in his sin with which he made Israel to sin.
1 Kings 16:7	OT	1 Kings	16	7	evil	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.
1 Kings 16:19	OT	1 Kings	16	19	broken	for his sins which he sinned in doing what was broken in the sight of YHWH, in walking in the way of Yerovam, and in his sin which he did, to make Israel to sin.
1 Kings 16:25	OT	1 Kings	16	25	broken	Omri did what was broken in the sight of YHWH, and dealt wickedly above all who were before him.
1 Kings 16:30	OT	1 Kings	16	30	broken	Achav the son of Omri did what was broken in the sight of YHWH above all that were before him.
1 Kings 21:25	OT	1 Kings	21	25	broken	(But there was none like Achav, who did sell himself to do what was broken in the sight of YHWH, whom Jezebel his wife stirred up.
1 Kings 22:8	OT	1 Kings	22	8	evil	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""
1 Kings 22:18	OT	1 Kings	22	18	evil	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
1 Kings 22:48	OT	1 Kings	22	48	broken	Yehoshafat made ships of Tarshish to go to Ophir for gold: but they didn't go; for the ships were broken at Ezion Geber.
1 Kings 22:52	OT	1 Kings	22	52	broken	He did what was broken in the sight of YHWH, and walked in the way of his father, and in the way of his mother, and in the way of Yerovam the son of Nebat, in which he made Israel to sin.
2 Kings 3:2	OT	2 Kings	3	2	broken	He did what was broken in the sight of YHWH, but not like his father, and like his mother; for he put away the pillar of Baal that his father had made.
2 Kings 8:12	OT	2 Kings	8	12	evil	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.
2 Kings 8:18	OT	2 Kings	8	18	broken	He walked in the way of the kings of Israel, as did the house of Achav: for he had the daughter of Achav as wife; and he did what was broken in the sight of YHWH.
2 Kings 8:27	OT	2 Kings	8	27	broken	He walked in the way of the house of Achav, and did what was broken in the sight of YHWH, as did the house of Achav; for he was the son-in-law of the house of Achav.
2 Kings 13:2	OT	2 Kings	13	2	broken	He did what was broken in the sight of YHWH, and followed the sins of Yerovam the son of Nebat, with which he made Israel to sin; he didn't depart from it.
2 Kings 13:11	OT	2 Kings	13	11	broken	He did what was broken in the sight of YHWH; he didn't depart from all the sins of Yerovam the son of Nebat, with which he made Israel to sin; but he walked therein.
2 Kings 14:24	OT	2 Kings	14	24	broken	He did what was broken in the sight of YHWH: he didn't depart from all the sins of Yerovam the son of Nebat, with which he made Israel to sin.
2 Kings 15:9	OT	2 Kings	15	9	broken	He did what was broken in the sight of YHWH, as his fathers had done: he didn't depart from the sins of Yerovam the son of Nebat, with which he made Israel to sin.
2 Kings 15:18	OT	2 Kings	15	18	broken	He did what was broken in the sight of YHWH: he didn't depart all his days from the sins of Yerovam the son of Nebat, with which he made Israel to sin.
2 Kings 15:24	OT	2 Kings	15	24	broken	He did what was broken in the sight of YHWH: he didn't depart from the sins of Yerovam the son of Nebat, with which he made Israel to sin.
2 Kings 15:28	OT	2 Kings	15	28	broken	He did what was broken in the sight of YHWH: he didn't depart from the sins of Yerovam the son of Nebat, with which he made Israel to sin.
2 Kings 17:2	OT	2 Kings	17	2	broken	He did what was broken in the sight of YHWH, yet not as the kings of Israel who were before him.
2 Kings 17:13	OT	2 Kings	17	13	broken	Yet YHWH testified to Israel, and to Yehudah, by every prophet, and every seer, saying, Turn you from your broken ways, and keep my commandments and my statutes, according to all the law which I commanded your fathers, and which I sent to you by my servants the prophets.
2 Kings 17:17	OT	2 Kings	17	17	broken	They caused their sons and their daughters to pass through the fire, and used divination and enchantments, and sold themselves to do what was broken in the sight of YHWH, to provoke him to anger.
2 Kings 21:2	OT	2 Kings	21	2	broken	He did what was broken in the sight of YHWH, after the abominations of the nations whom YHWH cast out before the children of Israel.
2 Kings 21:9	OT	2 Kings	21	9	evil	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.
2 Kings 21:16	OT	2 Kings	21	16	broken	Moreover Menashe shed innocent blood very much, until he had filled Yerushalayim from one end to another; besides his sin with which he made Yehudah to sin, in doing what was broken in the sight of YHWH.
2 Kings 21:20	OT	2 Kings	21	20	broken	He did what was broken in the sight of YHWH, as did Menashe his father.
2 Kings 23:32	OT	2 Kings	23	32	broken	He did what was broken in the sight of YHWH, according to all that his fathers had done.
2 Kings 23:37	OT	2 Kings	23	37	broken	He did what was broken in the sight of YHWH, according to all that his fathers had done.
2 Kings 24:9	OT	2 Kings	24	9	broken	He did what was broken in the sight of YHWH, according to all that his father had done.
2 Kings 24:19	OT	2 Kings	24	19	broken	He did what was broken in the sight of YHWH, according to all that Jehoiakim had done.
1 Chronicles 13:11	OT	1 Chronicles	13	11	broken	Dawid was displeased, because YHWH had broken forth on Uzza; and he called that place Peretz Uzza, to this day.
1 Chronicles 14:11	OT	1 Chronicles	14	11	broken	So they came up to Baal Perazim, and Dawid struck them there; and Dawid said, Elohim has broken my enemies by my hand, like the breach of waters. Therefore they called the name of that place Baal Perazim.
2 Chronicles 7:22	OT	2 Chronicles	7	22	evil	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.
2 Chronicles 12:14	OT	2 Chronicles	12	14	broken	He did what was broken, because he didn't set his heart to seek YHWH.
2 Chronicles 15:6	OT	2 Chronicles	15	6	broken	They were broken in pieces, nation against nation, and city against city; for Elohim did vex them with all adversity.
2 Chronicles 18:7	OT	2 Chronicles	18	7	evil	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.
2 Chronicles 18:17	OT	2 Chronicles	18	17	evil	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
2 Chronicles 20:37	OT	2 Chronicles	20	37	broken	Then Eliezer the son of Dodavahu of Mareshah prophesied against Yehoshafat, saying, Because you have joined yourself with Ahaziah, YHWH has destroyed your works. The ships were broken, so that they were not able to go to Tarshish.
2 Chronicles 21:6	OT	2 Chronicles	21	6	broken	He walked in the way of the kings of Israel, as did the house of Achav; for he had the daughter of Achav as wife: and he did what was broken in the sight of YHWH.
2 Chronicles 22:4	OT	2 Chronicles	22	4	broken	He did what was broken in the sight of YHWH, as did the house of Achav; for they were his counselors after the death of his father, to his destruction.
2 Chronicles 24:7	OT	2 Chronicles	24	7	broken	For the sons of Athaliah, that wicked woman, had broken up the house of Elohim; and also all the dedicated things of the house of YHWH did they bestow on the Baals.
2 Chronicles 25:12	OT	2 Chronicles	25	12	broken	[other] ten thousand did the children of Yehudah carry away alive, and brought them to the top of the rock, and cast them down from the top of the rock, so that they all were broken in pieces.
2 Chronicles 29:6	OT	2 Chronicles	29	6	broken	For our fathers have trespassed, and done what was broken in the sight of YHWH our God, and have forsaken him, and have turned away their faces from the habitation of YHWH, and turned their backs.
2 Chronicles 32:5	OT	2 Chronicles	32	5	broken	He took courage, and built up all the wall that was broken down, and raised [it] up to the towers, and the other wall outside, and strengthened Millo [in] the city of Dawid, and made weapons and shields in abundance.
2 Chronicles 33:2	OT	2 Chronicles	33	2	broken	He did what was broken in the sight of YHWH, after the abominations of the nations whom YHWH cast out before the children of Israel.
2 Chronicles 33:3	OT	2 Chronicles	33	3	broken	For he built again the high places which Chizkiyahu his father had broken down; and he reared up altars for the Baals, and made Asheroth, and worshiped all the army of the heavens, and served them.
2 Chronicles 33:22	OT	2 Chronicles	33	22	broken	He did what was broken in the sight of YHWH, as did Menashe his father; and Amon sacrificed to all the engraved images which Menashe his father had made, and served them.
2 Chronicles 36:5	OT	2 Chronicles	36	5	broken	Jehoiakim was Twenty-five years old when he began to reign; and he reigned eleven years in Yerushalayim: and he did what was broken in the sight of YHWH his God.
2 Chronicles 36:9	OT	2 Chronicles	36	9	broken	Jehoiachin was eight years old when he began to reign; and he reigned three months and ten days in Yerushalayim: and he did what was broken in the sight of YHWH.
2 Chronicles 36:12	OT	2 Chronicles	36	12	broken	and he did what was broken in the sight of YHWH his God; he didn't humble himself before Yirmeyahu the prophet [speaking] from the mouth of YHWH.
Nehemiah 1:3	OT	Nehemiah	1	3	broken	They said to me, The remnant who are left of the captivity there in the province are in great affliction and reproach: the wall of Yerushalayim also is broken down, and the gates of it are burned with fire.
Nehemiah 2:13	OT	Nehemiah	2	13	broken	I went out by night by the valley gate, even toward the jackal's well, and to the dung gate, and viewed the walls of Yerushalayim, which were broken down, and the gates of it were consumed with fire.
Nehemiah 13:7	OT	Nehemiah	13	7	evil	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.
Nehemiah 13:17	OT	Nehemiah	13	17	broken	Then I contended with the nobles of Yehudah, and said to them, What broken thing is this that you do, and profane the Sabbath day?
Nehemiah 13:27	OT	Nehemiah	13	27	evil	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?
Job 4:10	OT	Job	4	10	broken	The roaring of the lion, and the voice of the fierce lion, the teeth of the young lions, are broken.
Job 15:33	OT	Job	15	33	unripe	He shall shake off his unripe grape as the vine, and shall cast off his flower as the olive tree.
Job 17:11	OT	Job	17	11	broken	My days are past, my plans are broken off, as are the thoughts of my heart.
Job 19:10	OT	Job	19	10	broken	He has broken me down on every side, and I am gone. My hope he has plucked up like a tree.
Job 22:9	OT	Job	22	9	broken	You have sent widows away empty, and the arms of the fatherless have been broken.
Job 24:20	OT	Job	24	20	broken	The womb shall forget him. The worm shall feed sweetly on him. He shall be no more remembered. Unrighteousness shall be broken as a tree.
Job 30:26	OT	Job	30	26	evil	When I looked for good, then evil came; When I waited for light, there came darkness.
Job 31:22	OT	Job	31	22	broken	then let my shoulder fall from the shoulder blade, and my arm be broken from the bone.
Job 31:29	OT	Job	31	29	evil	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"
Job 38:15	OT	Job	38	15	broken	From the wicked, their light is withheld. The high arm is broken.
Psalms 3:7	OT	Psalms	3	7	broken	Arise, YHWH! Save me, my God! For you have struck all of my enemies on the cheek bone. You have broken the teeth of the wicked.
Psalms 5:4	OT	Psalms	5	4	evil	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.
Psalms 7:4	OT	Psalms	7	4	evil	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),
Psalms 15:3	OT	Psalms	15	3	evil	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;
Psalms 23:4	OT	Psalms	23	4	evil	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.
Psalms 31:12	OT	Psalms	31	12	broken	I am forgotten from their hearts like a dead man. I am like broken pottery.
Psalms 34:18	OT	Psalms	34	18	broken	YHWH is near to those who have a broken heart, and saves those who have a crushed spirit.
Psalms 34:20	OT	Psalms	34	20	broken	YHWH protects all of their bones. Not one of them is broken.
Psalms 34:21	OT	Psalms	34	21	evil	evil shall kill the wicked. Those who hate the righteous shall be condemned.
Psalms 35:12	OT	Psalms	35	12	evil	They reward me evil for good, to the bereaving of my soul.
Psalms 36:4	OT	Psalms	36	4	evil	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.
Psalms 37:8	OT	Psalms	37	8	evil	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.
Psalms 37:15	OT	Psalms	37	15	broken	Their sword shall enter into their own heart. Their bows shall be broken.
Psalms 37:17	OT	Psalms	37	17	broken	For the arms of the wicked shall be broken, but YHWH upholds the righteous.
Psalms 37:19	OT	Psalms	37	19	evil	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.
Psalms 38:20	OT	Psalms	38	20	evil	They who also render evil for good are adversaries to me, because I follow what is good.
Psalms 41:1	OT	Psalms	41	1	evil	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.
Psalms 49:5	OT	Psalms	49	5	evil	Why should I fear in the days of evil, when iniquity at my heels surrounds me?
Psalms 50:19	OT	Psalms	50	19	evil	"""You give your mouth to evil. Your tongue frames deceit."
Psalms 51:4	OT	Psalms	51	4	evil	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.
Psalms 51:8	OT	Psalms	51	8	broken	Let me hear joy and gladness, That the bones which you have broken may rejoice.
Psalms 51:17	OT	Psalms	51	17	broken	The sacrifices of Elohim are a broken spirit. A broken and contrite heart, O Elohim, you will not despise.
Psalms 52:3	OT	Psalms	52	3	evil	You love evil more than good, lying rather than speaking the truth. Selah.
Psalms 54:5	OT	Psalms	54	5	evil	YHWH will repay the evil to my enemies. Destroy them in your truth.
Psalms 56:5	OT	Psalms	56	5	evil	All day long they twist my words. All their thoughts are against me for evil.
Psalms 60:1	OT	Psalms	60	1	broken	Elohim, you have rejected us. You have broken us down. You have been angry. Restore us, again.
Psalms 64:5	OT	Psalms	64	5	evil	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""
Psalms 69:20	OT	Psalms	69	20	broken	Reproach has broken my heart, and I am full of heaviness. I looked for some to take pity, but there was none; for comforters, but I found none.
Psalms 74:3	OT	Psalms	74	3	evil	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.
Psalms 78:49	OT	Psalms	78	49	evil	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.
Psalms 80:12	OT	Psalms	80	12	broken	Why have you broken down its walls, so that all those who pass by the way pluck it?
Psalms 89:10	OT	Psalms	89	10	broken	You have broken Rahab in pieces, like one of the slain. You have scattered your enemies with your mighty arm.
Psalms 89:40	OT	Psalms	89	40	broken	You have broken down all his hedges. You have brought his strongholds to ruin.
Psalms 90:15	OT	Psalms	90	15	evil	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.
Psalms 91:10	OT	Psalms	91	10	evil	no evil shall happen to you, neither shall any plague come near your dwelling.
Psalms 97:10	OT	Psalms	97	10	evil	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.
Psalms 101:4	OT	Psalms	101	4	evil	A perverse heart will be far from me. I will have nothing to do with evil.
Psalms 107:16	OT	Psalms	107	16	broken	For YHWH has broken the gates of brass, and cut through bars of iron.
Psalms 109:16	OT	Psalms	109	16	broken	because he didn't remember to show kindness, but persecuted the poor and needy man, the broken in heart, to kill them.
Psalms 119:101	OT	Psalms	119	101	broken	I have kept my feet from every broken way, that I might observe your word.
Psalms 124:7	OT	Psalms	124	7	broken	Our soul has escaped like a bird out of the fowler's snare. The snare is broken, and we have escaped.
Psalms 140:8	OT	Psalms	140	8	evil	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.
Psalms 140:11	OT	Psalms	140	11	evil	A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.
Psalms 141:4	OT	Psalms	141	4	broken	Don't incline my heart to any broken thing, to practice deeds of wickedness with people who work iniquity. Don't let me eat of their delicacies.
Psalms 147:3	OT	Psalms	147	3	broken	YHWH heals the broken in heart, and binds up their wounds.
