reference	testament	book	chapter	verse	current_text	historical_pre_cleanup_text	historical_cleanup_text	in_2026_09_14_lexical_ledger	current_grammar_flags
Deuteronomy 17:1	OT	Deuteronomy	17	1	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything brokenness; for that is an abomination to YHWH your God.	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.	yes	
Deuteronomy 17:7	OT	Deuteronomy	17	7	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.	yes	
Deuteronomy 17:12	OT	Deuteronomy	17	12	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.	yes	
Deuteronomy 19:19	OT	Deuteronomy	19	19	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.	yes	
Deuteronomy 19:20	OT	Deuteronomy	19	20	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.	yes	
Deuteronomy 21:21	OT	Deuteronomy	21	21	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.	yes	
Deuteronomy 22:21	OT	Deuteronomy	22	21	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.	yes	
Deuteronomy 22:22	OT	Deuteronomy	22	22	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.	yes	
Deuteronomy 22:24	OT	Deuteronomy	22	24	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.	yes	
Deuteronomy 24:7	OT	Deuteronomy	24	7	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.	If someone be found stealing any of their brothers of the children of Israel, and they deal with him as a slave, or sell him; then that thief shall die: so shall you put away the brokenness from the midst of you.	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.	yes	
Deuteronomy 30:15	OT	Deuteronomy	30	15	Behold, I have set before you this day life and good, and death and evil;	Behold, I have set before you this day life and good, and death and brokenness;	Behold, I have set before you this day life and good, and death and evil;	yes	
Deuteronomy 31:18	OT	Deuteronomy	31	18	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.	yes	
Judges 20:13	OT	Judges	20	13	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	yes	
1 Samuel 6:9	OT	1 Samuel	6	9	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great brokenness: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	yes	
1 Samuel 12:19	OT	1 Samuel	12	19	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.	yes	
1 Samuel 12:20	OT	1 Samuel	12	20	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	yes	
1 Samuel 24:11	OT	1 Samuel	24	11	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither brokenness nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	yes	
1 Samuel 24:17	OT	1 Samuel	24	17	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you brokenness.	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.	yes	
1 Samuel 25:21	OT	1 Samuel	25	21	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me brokenness for good.	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.	yes	
1 Samuel 25:26	OT	1 Samuel	25	26	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek brokenness to my lord, be as Nabal.	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.	yes	
2 Samuel 12:9	OT	2 Samuel	12	9	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Why have you despised the word of YHWH, to do that which is brokenness in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	yes	
1 Kings 3:9	OT	1 Kings	3	9	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?	yes	
1 Kings 16:7	OT	1 Kings	16	7	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	yes	
1 Kings 22:8	OT	1 Kings	22	8	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but brokenness. Yehoshafat said, ""Don't let the king say so."""	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""	yes	
1 Kings 22:18	OT	1 Kings	22	18	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	yes	
2 Kings 8:12	OT	2 Kings	8	12	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Hazael said, Why weeps my lord? He answered, Because I know the brokenness that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	yes	
2 Kings 21:9	OT	2 Kings	21	9	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.	But they didn't listen: and Menashe seduced them to do that which is brokenness more than did the nations whom YHWH destroyed before the children of Israel.	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.	yes	
2 Chronicles 7:22	OT	2 Chronicles	7	22	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this brokenness on them.	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.	yes	
2 Chronicles 18:7	OT	2 Chronicles	18	7	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always brokenness: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	yes	
2 Chronicles 18:17	OT	2 Chronicles	18	17	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?	yes	
Nehemiah 13:7	OT	Nehemiah	13	7	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	and I came to Yerushalayim, and understood the brokenness that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	yes	
Nehemiah 13:27	OT	Nehemiah	13	27	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?	yes	
Job 30:26	OT	Job	30	26	When I looked for good, then evil came; When I waited for light, there came darkness.	When I looked for good, then brokenness came; When I waited for light, there came darkness.	When I looked for good, then evil came; When I waited for light, there came darkness.	yes	
Job 31:29	OT	Job	31	29	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when brokenness found him;"	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"	yes	
Psalms 5:4	OT	Psalms	5	4	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.	yes	sentence-initial-lowercase-evil
Psalms 7:4	OT	Psalms	7	4	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	if I have rewarded brokenness to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	yes	
Psalms 15:3	OT	Psalms	15	3	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;	yes	
Psalms 23:4	OT	Psalms	23	4	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.	Even though I walk through the valley of the shadow of death, I will fear no brokenness, for you are with me. Your rod and your staff, they comfort me.	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.	yes	
Psalms 34:21	OT	Psalms	34	21	evil shall kill the wicked. Those who hate the righteous shall be condemned.	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	evil shall kill the wicked. Those who hate the righteous shall be condemned.	yes	sentence-initial-lowercase-evil
Psalms 35:12	OT	Psalms	35	12	They reward me evil for good, to the bereaving of my soul.	They reward me brokenness for good, to the bereaving of my soul.	They reward me evil for good, to the bereaving of my soul.	yes	
Psalms 36:4	OT	Psalms	36	4	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.	yes	
Psalms 37:8	OT	Psalms	37	8	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.	yes	
Psalms 37:19	OT	Psalms	37	19	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.	They shall not be disappointed in the time of brokenness. In the days of famine they shall be satisfied.	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.	yes	
Psalms 38:20	OT	Psalms	38	20	They who also render evil for good are adversaries to me, because I follow what is good.	They who also render brokenness for good are adversaries to me, because I follow what is good.	They who also render evil for good are adversaries to me, because I follow what is good.	yes	
Psalms 41:1	OT	Psalms	41	1	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.	Blessed is the one who considers the poor. YHWH will deliver them in the day of brokenness.	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.	yes	
Psalms 49:5	OT	Psalms	49	5	Why should I fear in the days of evil, when iniquity at my heels surrounds me?	Why should I fear in the days of brokenness, when iniquity at my heels surrounds me?	Why should I fear in the days of evil, when iniquity at my heels surrounds me?	yes	
Psalms 50:19	OT	Psalms	50	19	"""You give your mouth to evil. Your tongue frames deceit."	"""You give your mouth to brokenness. Your tongue frames deceit."	"""You give your mouth to evil. Your tongue frames deceit."	yes	
Psalms 51:4	OT	Psalms	51	4	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.	Against you, and you only, have I sinned, and done that which is brokenness in your sight; that you may be proved right when you speak, and justified when you judge.	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.	yes	
Psalms 52:3	OT	Psalms	52	3	You love evil more than good, lying rather than speaking the truth. Selah.	You love brokenness more than good, lying rather than speaking the truth. Selah.	You love evil more than good, lying rather than speaking the truth. Selah.	yes	
Psalms 54:5	OT	Psalms	54	5	YHWH will repay the evil to my enemies. Destroy them in your truth.	YHWH will repay the brokenness to my enemies. Destroy them in your truth.	YHWH will repay the evil to my enemies. Destroy them in your truth.	yes	
Psalms 56:5	OT	Psalms	56	5	All day long they twist my words. All their thoughts are against me for evil.	All day long they twist my words. All their thoughts are against me for brokenness.	All day long they twist my words. All their thoughts are against me for evil.	yes	
Psalms 64:5	OT	Psalms	64	5	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""	"They encourage themselves in brokenness plans. They talk about laying snares secretly. They say, ""Who will see them?"""	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""	yes	
Psalms 74:3	OT	Psalms	74	3	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.	Lift up your feet to the perpetual ruins, all the brokenness that the enemy has done in the sanctuary.	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.	yes	
Psalms 78:49	OT	Psalms	78	49	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of brokenness.	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.	yes	
Psalms 90:15	OT	Psalms	90	15	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.	Make us glad for as many days as you have afflicted us, for as many years as we have seen brokenness.	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.	yes	
Psalms 91:10	OT	Psalms	91	10	no evil shall happen to you, neither shall any plague come near your dwelling.	no brokenness shall happen to you, neither shall any plague come near your dwelling.	no evil shall happen to you, neither shall any plague come near your dwelling.	yes	
Psalms 97:10	OT	Psalms	97	10	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	yes	
Psalms 101:4	OT	Psalms	101	4	A perverse heart will be far from me. I will have nothing to do with evil.	A perverse heart will be far from me. I will have nothing to do with brokenness.	A perverse heart will be far from me. I will have nothing to do with evil.	yes	
Psalms 140:8	OT	Psalms	140	8	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.	YHWH, don't grant the desires of the wicked. Don't let their brokenness plans succeed, or they will become proud. Selah.	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.	yes	
Psalms 140:11	OT	Psalms	140	11	A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.	A brokenness speaker won't be established in the earth. Brokenness will hunt the violent man to overthrow him.	A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.	yes	
Proverbs 1:16	OT	Proverbs	1	16	for their feet run to evil. They hurry to shed blood.	for their feet run to brokenness. They hurry to shed blood.	for their feet run to evil. They hurry to shed blood.	yes	
Proverbs 2:12	OT	Proverbs	2	12	to deliver you from the way of evil, from the people who speak perverse things;	to deliver you from the way of brokenness, from the people who speak perverse things;	to deliver you from the way of evil, from the people who speak perverse things;	yes	
Proverbs 2:14	OT	Proverbs	2	14	who rejoice to do wrong, and delight in the perverseness of evil;	who rejoice to do brokenness, and delight in the perverseness of brokenness;	who rejoice to do wrong, and delight in the perverseness of evil;	yes	
Proverbs 8:13	OT	Proverbs	8	13	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.	Reverence for YHWH is to hate brokenness. I hate pride, arrogance, the broken way, and the perverse mouth.	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.	yes	
Proverbs 11:19	OT	Proverbs	11	19	The one who is truly righteous gets life. The one who pursues evil gets death.	The one who is truly righteous gets life. The one who pursues brokenness gets death.	The one who is truly righteous gets life. The one who pursues evil gets death.	yes	
Proverbs 11:27	OT	Proverbs	11	27	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.	The one who diligently seeks good seeks favor, but the one who searches after brokenness, it shall come to them.	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.	yes	
Proverbs 12:21	OT	Proverbs	12	21	No mischief shall happen to the righteous, but the wicked shall be filled with evil.	No mischief shall happen to the righteous, but the wicked shall be filled with brokenness.	No mischief shall happen to the righteous, but the wicked shall be filled with evil.	yes	
Proverbs 14:16	OT	Proverbs	14	16	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.	A wise person fears, and shuns brokenness, but the fool is hotheaded and reckless.	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.	yes	
