reference	book	chapter	verse	historical	current	diff
Exodus 10:10	Exodus	10	10	"He said to them, ""YHWH be with you if I will let you go with your little ones! See, evil is clearly before your faces."	"He said to them, ""YHWH be with you if I will let you go with your little ones! See, brokenness is clearly before your faces."	replace: [evil] -> [brokenness]
Exodus 23:2	Exodus	23	2	You shall not follow a crowd to do evil; neither shall you testify in court to side with a multitude to pervert justice;	You shall not follow a crowd to do brokenness; neither shall you testify in court to side with a multitude to pervert justice;	replace: [evil] -> [brokenness]
Exodus 32:12	Exodus	32	12	Why should the Egyptians speak, saying, 'He brought them forth for evil, to kill them in the mountains, and to consume them from the surface of the earth?' Turn from your fierce wrath, and repent of this evil against your people.	Why should the Egyptians speak, saying, 'He brought them forth for brokenness, to kill them in the mountains, and to consume them from the surface of the earth?' Turn from your fierce wrath, and relent from this brokenness against your people.	replace: [evil] -> [brokenness] || replace: [repent of] -> [relent from] || replace: [evil] -> [brokenness]
Exodus 32:22	Exodus	32	22	"Aaron said, ""Don't let the anger of my lord grow hot. You know the people, that they are set on evil."	"Aharon said, ""Don't let the anger of my lord grow hot. You know the people, that they are set on brokenness."	replace: [Aaron] -> [Aharon] || replace: [evil] -> [brokenness]
Exodus 33:4	Exodus	33	4	When the people heard this evil news, they mourned: and no one put on his jewelry.	When the people heard this brokenness news, they mourned: and no one put on their jewelry.	replace: [evil] -> [brokenness] || replace: [his] -> [their]
Leviticus 5:4	Leviticus	5	4	"""'Or if anyone swears rashly with his lips to do evil, or to do good, whatever it is that a man might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these."	"""'Or if anyone swears rashly with their lips to do brokenness, or to do good, whatever it is that a person might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these."	replace: [his] -> [their] || replace: [evil] -> [brokenness] || replace: [man] -> [person]
Leviticus 26:6	Leviticus	26	6	"""'I will give peace in the land, and you shall lie down, and no one will make you afraid; and I will remove evil animals out of the land, neither shall the sword go through your land."	"""'I will give peace in the land, and you shall lie down, and no one will make you afraid; and I will remove brokenness animals out of the land, neither shall the sword go through your land."	replace: [evil] -> [brokenness]
Numbers 11:1	Numbers	11	1	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, his anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	The people were as murmurers, [speaking] brokenness in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	replace: [evil] -> [brokenness] || replace: [his] -> [YHWH’s]
Numbers 14:27	Numbers	14	27	How long [shall I bear] with this evil congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.	How long [shall I bear] with this brokenness congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.	replace: [evil] -> [brokenness]
Numbers 14:35	Numbers	14	35	I, YHWH, have spoken, surely this will I do to all this evil congregation, who are gathered together against me: in this wilderness they shall be consumed, and there they shall die.	I, YHWH, have spoken, surely this will I do to all this brokenness congregation, who are gathered together against me: in this wilderness they shall be consumed, and there they shall die.	replace: [evil] -> [brokenness]
Numbers 20:5	Numbers	20	5	Why have you made us to come up out of Egypt, to bring us in to this evil place? it is no place of seed, or of figs, or of vines, or of pomegranates; neither is there any water to drink.	Why have you made us to come up out of Mitzrayim, to bring us in to this brokenness place? it is no place of seed, or of figs, or of vines, or of pomegranates; neither is there any water to drink.	replace: [Egypt] -> [Mitzrayim] || replace: [evil] -> [brokenness]
Numbers 32:13	Numbers	32	13	YHWH's anger was kindled against Israel, and he made them wander back and forth in the wilderness forty years, until all the generation, who had done evil in the sight of YHWH, was consumed.	YHWH's anger was kindled against Israel, and YHWH made them wander back and forth in the wilderness forty years, until all the generation, who had done brokenness in the sight of YHWH, was consumed.	replace: [he] -> [YHWH] || replace: [evil] -> [brokenness]
Deuteronomy 1:39	Deuteronomy	1	39	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or brokenness, they shall go in there, and to them will I give it, and they shall possess it.	replace: [evil] -> [brokenness]
Deuteronomy 4:25	Deuteronomy	4	25	When you shall father children, and children's children, and you shall have been long in the land, and shall corrupt yourselves, and make an engraved image in the form of anything, and shall do that which is evil in the sight of YHWH your Elohim, to provoke him to anger;	When you shall father children, and children's children, and you shall have been long in the land, and shall corrupt yourselves, and make an engraved image in the form of anything, and shall do that which is brokenness in the sight of YHWH your God, to provoke him to anger;	replace: [evil] -> [brokenness] || replace: [Elohim] -> [God]
Deuteronomy 7:15	Deuteronomy	7	15	YHWH will take away from you all sickness; and none of the evil diseases of Egypt, which you know, he will put on you, but will lay them on all those who hate you.	YHWH will take away from you all sickness; and none of the brokenness diseases of Mitzrayim, which you know, YHWH will put on you, but will lay them on all those who hate you.	replace: [evil] -> [brokenness] || replace: [Egypt] -> [Mitzrayim] || replace: [he] -> [YHWH]
Deuteronomy 13:5	Deuteronomy	13	5	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your Elohim, who brought you out of the land of Egypt, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your Elohim commanded you to walk in. So shall you put away the evil from the midst of you.	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the brokenness from the midst of you.	replace: [Elohim] -> [God] || replace: [Egypt] -> [Mitzrayim] || replace: [Elohim] -> [God] || replace: [evil] -> [brokenness]
Deuteronomy 15:9	Deuteronomy	15	9	Beware that there not be a base thought in your heart, saying, The seventh year, the year of release, is at hand; and your eye be evil against your poor brother, and you give him nothing; and he cry to YHWH against you, and it be sin to you.	Beware that there not be a base thought in your heart, saying, The seventh year, the year of release, is at hand; and your eye be brokenness against your poor brother, and you give him nothing; and he cry to YHWH against you, and it be sin to you.	replace: [evil] -> [brokenness]
Deuteronomy 17:1	Deuteronomy	17	1	You shall not sacrifice to YHWH your Elohim an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your Elohim.	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything brokenness; for that is an abomination to YHWH your God.	replace: [Elohim] -> [God] || replace: [evil] -> [brokenness] || replace: [Elohim] -> [God]
Deuteronomy 17:2	Deuteronomy	17	2	If there be found in the midst of you, within any of your gates which YHWH your Elohim gives you, man or woman, who does that which is evil in the sight of YHWH your Elohim, in transgressing his covenant,	If there be found in the midst of you, within any of your gates which YHWH your God gives you, man or woman, who does that which is brokenness in the sight of YHWH your God, in transgressing YHWH’s covenant,	replace: [Elohim] -> [God] || replace: [evil] -> [brokenness] || replace: [Elohim] -> [God] || replace: [his] -> [YHWH’s]
Deuteronomy 17:7	Deuteronomy	17	7	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	replace: [evil] -> [brokenness]
Deuteronomy 17:12	Deuteronomy	17	12	The man who does presumptuously, in not listening to the priest who stands to minister there before YHWH your Elohim, or to the judge, even that man shall die: and you shall put away the evil from Israel.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	replace: [man] -> [one] || replace: [Elohim] -> [God] || replace: [evil] -> [brokenness]
Deuteronomy 19:19	Deuteronomy	19	19	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	replace: [evil] -> [brokenness]
Deuteronomy 19:20	Deuteronomy	19	20	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	replace: [evil] -> [brokenness]
Deuteronomy 21:21	Deuteronomy	21	21	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	replace: [evil] -> [brokenness]
Deuteronomy 22:21	Deuteronomy	22	21	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	replace: [evil] -> [brokenness]
Deuteronomy 22:22	Deuteronomy	22	22	If a man be found lying with a woman married to a husband, then they shall both of them die, the man who lay with the woman, and the woman: so shall you put away the evil from Israel.	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	replace: [a man] -> [someone] || replace: [man] -> [one] || replace: [evil] -> [brokenness]
Deuteronomy 22:24	Deuteronomy	22	24	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the man, because he has humbled his neighbor's wife: so you shall put away the evil from the midst of you.	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	replace: [man] -> [person] || replace: [he has] -> [they have] || replace: [his] -> [their] || replace: [evil] -> [brokenness]
Deuteronomy 24:7	Deuteronomy	24	7	If a man be found stealing any of his brothers of the children of Israel, and he deal with him as a slave, or sell him; then that thief shall die: so shall you put away the evil from the midst of you.	If someone be found stealing any of their brothers of the children of Israel, and they deal with him as a slave, or sell him; then that thief shall die: so shall you put away the brokenness from the midst of you.	replace: [a man] -> [someone] || replace: [his] -> [their] || replace: [he] -> [they] || replace: [evil] -> [brokenness]
Deuteronomy 25:2	Deuteronomy	25	2	and it shall be, if the wicked man be worthy to be beaten, that the judge shall cause him to lie down, and to be beaten before his face, according to his wickedness, by number.	and it shall be, if the broken person be worthy to be beaten, that the judge shall cause him to lie down, and to be beaten before their face, according to their wickedness, by number.	replace: [wicked man] -> [broken person] || replace: [his] -> [their] || replace: [his] -> [their]
Deuteronomy 28:20	Deuteronomy	28	20	YHWH will send on you cursing, confusion, and rebuke, in all that you put your hand to do, until you are destroyed, and until you perish quickly; because of the evil of your doings, by which you have forsaken me.	YHWH will send on you cursing, confusion, and rebuke, in all that you put your hand to do, until you are destroyed, and until you perish quickly; because of the brokenness of your doings, by which you have forsaken me.	replace: [evil] -> [brokenness]
Deuteronomy 28:54	Deuteronomy	28	54	The man who is tender among you, and very delicate, his eye shall be evil toward his brother, and toward the wife of his bosom, and toward the remnant of his children whom he has remaining;	The one who is tender among you, and very delicate, their eye shall be brokenness toward their brother, and toward the wife of their bosom, and toward the remnant of their children whom they have remaining;	replace: [man] -> [one] || replace: [his] -> [their] || replace: [evil] -> [brokenness] || replace: [his] -> [their] || replace: [his] -> [their] || replace: [his] -> [their] || replace: [he has] -> [they have]
Deuteronomy 28:56	Deuteronomy	28	56	The tender and delicate woman among you, who would not adventure to set the sole of her foot on the ground for delicateness and tenderness, her eye shall be evil toward the husband of her bosom, and toward her son, and toward her daughter,	The tender and delicate woman among you, who would not adventure to set the sole of her foot on the ground for delicateness and tenderness, her eye shall be brokenness toward the husband of her bosom, and toward her son, and toward her daughter,	replace: [evil] -> [brokenness]
Deuteronomy 29:21	Deuteronomy	29	21	YHWH will set him apart to evil out of all the tribes of Israel, according to all the curses of the covenant that is written in this book of the law.	YHWH will set him apart to brokenness out of all the tribes of Israel, according to all the curses of the covenant that is written in this book of the law.	replace: [evil] -> [brokenness]
Deuteronomy 30:15	Deuteronomy	30	15	Behold, I have set before you this day life and good, and death and evil;	Behold, I have set before you this day life and good, and death and brokenness;	replace: [evil] -> [brokenness]
Deuteronomy 31:18	Deuteronomy	31	18	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	replace: [evil] -> [brokenness]
Deuteronomy 31:29	Deuteronomy	31	29	For I know that after my death you will utterly corrupt yourselves, and turn aside from the way which I have commanded you; and evil will happen to you in the latter days; because you will do that which is evil in the sight of YHWH, to provoke him to anger through the work of your hands.	For I know that after my death you will utterly corrupt yourselves, and turn aside from the way which I have commanded you; and brokenness will happen to you in the latter days; because you will do that which is brokenness in the sight of YHWH, to provoke him to anger through the work of your hands.	replace: [evil] -> [brokenness] || replace: [evil] -> [brokenness]
Joshua 24:15	Joshua	24	15	If it seem evil to you to serve YHWH, choose you this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve YHWH.	If it seem brokenness to you to serve YHWH, choose you this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve YHWH.	replace: [evil] -> [brokenness]
Joshua 24:20	Joshua	24	20	If you forsake YHWH, and serve foreign gods, then he will turn and do you evil, and consume you, after that he has done you good.	If you forsake YHWH, and serve foreign gods, then YHWH will turn and do you brokenness, and consume you, after that YHWH has done you good.	replace: [he] -> [YHWH] || replace: [evil] -> [brokenness] || replace: [he] -> [YHWH]
Judges 2:15	Judges	2	15	Wherever they went out, the hand of YHWH was against them for evil, as YHWH had spoken, and as YHWH had sworn to them: and they were sore distressed.	Wherever they went out, the hand of YHWH was against them for brokenness, as YHWH had spoken, and as YHWH had sworn to them: and they were sore distressed.	replace: [evil] -> [brokenness]
Judges 20:13	Judges	20	13	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Benjamin would not listen to the voice of their brothers the children of Israel.	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	replace: [evil] -> [brokenness] || replace: [Benjamin] -> [Binyamin]
Judges 20:34	Judges	20	34	There came over against Gibeah ten thousand chosen men out of all Israel, and the battle was sore; but they didn't know that evil was close on them.	There came over against Gibeah ten thousand chosen men out of all Israel, and the battle was sore; but they didn't know that brokenness was close on them.	replace: [evil] -> [brokenness]
Judges 20:41	Judges	20	41	The men of Israel turned, and the men of Benjamin were dismayed; for they saw that evil had come on them.	The people of Israel turned, and the men of Binyamin were dismayed; for they saw that brokenness had come on them.	replace: [men] -> [people] || replace: [Benjamin] -> [Binyamin] || replace: [evil] -> [brokenness]
1 Samuel 6:9	1 Samuel	6	9	"Behold; if it goes up by the way of its own border to Beth Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great brokenness: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	replace: [Beth] -> [Beit] || replace: [evil] -> [brokenness]
1 Samuel 12:19	1 Samuel	12	19	All the people said to Samuel, Pray for your servants to YHWH your Elohim, that we not die; for we have added to all our sins [this] evil, to ask us a king.	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	replace: [Samuel] -> [Shmuel] || replace: [Elohim] -> [God] || replace: [evil] -> [brokenness]
1 Samuel 12:20	1 Samuel	12	20	"Samuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	replace: [Samuel] -> [Shmuel] || replace: [evil] -> [brokenness]
1 Samuel 16:23	1 Samuel	16	23	It happened, when the [evil] spirit from Elohim was on Saul, that David took the harp, and played with his hand: so Saul was refreshed, and was well, and the evil spirit departed from him.	It happened, when the [brokenness] spirit from Elohim was on Shaul, that Dawid took the harp, and played with his hand: so Shaul was refreshed, and was well, and the troubling spirit departed from him.	replace: [evil] -> [brokenness] || replace: [Saul] -> [Shaul] || replace: [David] -> [Dawid] || replace: [Saul] -> [Shaul] || replace: [evil] -> [troubling]
1 Samuel 20:7	1 Samuel	20	7	If he says, 'It is well;' your servant shall have peace: but if he be angry, then know that evil is determined by him.	If he says, 'It is well;' your servant shall have peace: but if he be angry, then know that brokenness is determined by him.	replace: [evil] -> [brokenness]
1 Samuel 20:9	1 Samuel	20	9	"Jonathan said, ""Far be it from you; for if I should at all know that evil were determined by my father to come on you, then wouldn't I tell you that?"""	"Yonatan said, ""Far be it from you; for if I should at all know that brokenness were determined by my father to come on you, then wouldn't I tell you that?"""	replace: [Jonathan] -> [Yonatan] || replace: [evil] -> [brokenness]
1 Samuel 20:13	1 Samuel	20	13	YHWH do so to Jonathan, and more also, should it please my father to do you evil, if I don't disclose it to you, and send you away, that you may go in peace: and YHWH be with you, as he has been with my father.	YHWH do so to Yonatan, and more also, should it please my father to do you brokenness, if I don't disclose it to you, and send you away, that you may go in peace: and YHWH be with you, as YHWH has been with my father.	replace: [Jonathan] -> [Yonatan] || replace: [evil] -> [brokenness] || replace: [he] -> [YHWH]
1 Samuel 24:11	1 Samuel	24	11	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither brokenness nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	replace: [evil] -> [brokenness]
1 Samuel 24:17	1 Samuel	24	17	He said to David, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you brokenness.	replace: [David] -> [Dawid] || replace: [evil] -> [brokenness]
1 Samuel 25:3	1 Samuel	25	3	Now the name of the man was Nabal; and the name of his wife Abigail; and the woman was of good understanding, and of a beautiful face: but the man was churlish and evil in his doings; and he was of the house of Caleb.	Now the name of the person was Nabal; and the name of his wife Abigail; and the woman was of good understanding, and of a beautiful face: but the person was churlish and brokenness in their doings; and he was of the house of Kalev.	replace: [man] -> [person] || replace: [man] -> [person] || replace: [evil] -> [brokenness] || replace: [his] -> [their] || replace: [Caleb] -> [Kalev]
1 Samuel 25:17	1 Samuel	25	17	Now therefore know and consider what you will do; for evil is determined against our master, and against all his house: for he is such a worthless fellow that one can't speak to him.	Now therefore know and consider what you will do; for brokenness is determined against our master, and against all his house: for he is such a worthless fellow that one can't speak to him.	replace: [evil] -> [brokenness]
1 Samuel 25:21	1 Samuel	25	21	Now David had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me brokenness for good.	replace: [David] -> [Dawid] || replace: [evil] -> [brokenness]
1 Samuel 25:26	1 Samuel	25	26	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek brokenness to my lord, be as Nabal.	replace: [evil] -> [brokenness]
1 Samuel 25:28	1 Samuel	25	28	Please forgive the trespass of your handmaid: for YHWH will certainly make my lord a sure house, because my lord fights the battles of YHWH; and evil shall not be found in you all your days.	Please forgive the trespass of your handmaid: for YHWH will certainly make my lord a sure house, because my lord fights the battles of YHWH; and brokenness shall not be found in you all your days.	replace: [evil] -> [brokenness]
1 Samuel 25:39	1 Samuel	25	39	When David heard that Nabal was dead, he said, Blessed be YHWH, who has pleaded the cause of my reproach from the hand of Nabal, and has kept back his servant from evil: and the evil-doing of Nabal has YHWH returned on his own head. David sent and spoke concerning Abigail, to take her to him as wife.	When Dawid heard that Nabal was dead, he said, Blessed be YHWH, who has pleaded the cause of my reproach from the hand of Nabal, and has kept back his servant from harm: and the brokenness-doing of Nabal has YHWH returned on his own head. Dawid sent and spoke concerning Abigail, to take her to him as wife.	replace: [David] -> [Dawid] || replace: [evil] -> [harm] || replace: [evil] -> [brokenness] || replace: [David] -> [Dawid]
1 Samuel 26:18	1 Samuel	26	18	He said, Why does my lord pursue after his servant? for what have I done? or what evil is in my hand?	He said, Why does my lord pursue after his servant? for what have I done? or what brokenness is in my hand?	replace: [evil] -> [brokenness]
1 Samuel 29:6	1 Samuel	29	6	Then Achish called David, and said to him, As YHWH lives, you have been upright, and your going out and your coming in with me in the army is good in my sight; for I have not found evil in you since the day of your coming to me to this day: nevertheless the lords don't favor you.	Then Achish called Dawid, and said to him, As YHWH lives, you have been upright, and your going out and your coming in with me in the army is good in my sight; for I have not found brokenness in you since the day of your coming to me to this day: nevertheless the lords don't favor you.	replace: [David] -> [Dawid] || replace: [evil] -> [brokenness]
2 Samuel 3:39	2 Samuel	3	39	"I am this day weak, though anointed king; and these men the sons of Zeruiah are too hard for me. May YHWH reward the evil-doer according to his wickedness."""	"I am this day weak, though anointed king; and these men the sons of Zeruiah are too hard for me. May YHWH reward the one who acts from brokenness according to their wickedness."""	replace: [evil - doer] -> [one who acts from brokenness] || replace: [his] -> [their]
2 Samuel 12:9	2 Samuel	12	9	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Why have you despised the word of YHWH, to do that which is brokenness in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	replace: [evil] -> [brokenness] || replace: [Uriah] -> [Uriyah]
