reference	book	chapter	verse	handledBook	category	priority	signals	reason	text
Exodus 5:9	Exodus	5	9	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"Let heavier work be laid on the men, that they may labor therein; and don't let them pay any attention to lying words."""
Exodus 7:20	Exodus	7	20	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Moshe and Aharon did so, as YHWH commanded; and he lifted up the rod, and struck the waters that were in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that were in the river were turned to blood.
Exodus 8:17	Exodus	8	17	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	They did so; and Aharon stretched out his hand with his rod, and struck the dust of the earth, and there were lice on man, and on animal; all the dust of the earth became lice throughout all the land of Mitzrayim.
Exodus 8:18	Exodus	8	18	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The magicians tried with their enchantments to bring forth lice, but they couldn't. There were lice on man, and on animal.
Exodus 9:9	Exodus	9	9	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"It shall become small dust over all the land of Mitzrayim, and shall be a boil breaking forth with boils on man and on animal, throughout all the land of Mitzrayim."""
Exodus 9:10	Exodus	9	10	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	They took ashes of the furnace, and stood before Pharaoh; and Moshe sprinkled it up toward the heavens; and it became a boil breaking forth with boils on man and on animal.
Exodus 9:22	Exodus	9	22	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"YHWH said to Moshe, ""Stretch forth your hand toward the heavens, that there may be hail in all the land of Mitzrayim, on man, and on animal, and on every herb of the field, throughout the land of Mitzrayim."""
Exodus 9:25	Exodus	9	25	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The hail struck throughout all the land of Mitzrayim all that was in the field, both man and animal; and the hail struck every herb of the field, and broke every tree of the field.
Exodus 10:7	Exodus	10	7	False	MASCULINE TERM REVIEW	REVIEW	man; men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"Pharaoh's servants said to him, ""How long will this man be a snare to us? Let the men go, that they may serve YHWH, their God. Don't you yet know that Mitzrayim is destroyed?"""
Exodus 10:10	Exodus	10	10	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	"He said to them, ""YHWH be with you if I will let you go with your little ones! See, brokenness is clearly before your faces."
Exodus 10:11	Exodus	10	11	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"Not so! Go now you who are men, and serve YHWH; for that is what you desire!"" They were driven out from Pharaoh's presence."
Exodus 11:7	Exodus	11	7	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	But against any of the children of Israel a dog won't even bark or move its tongue, against man or animal; that you may know that YHWH makes a distinction between the Egyptians and Israel.
Exodus 12:4	Exodus	12	4	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	and if the household be too little for a lamb, then he and his neighbor next to his house shall take one according to the number of the souls; according to what everyone can eat you shall make your count for the lamb.
Exodus 12:12	Exodus	12	12	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	For I will go through the land of Mitzrayim in that night, and will strike all the firstborn in the land of Mitzrayim, both man and animal. Against all the gods of Mitzrayim I will execute judgments: I am YHWH.
Exodus 12:33	Exodus	12	33	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"The Egyptians were urgent with the people, to send them out of the land in haste, for they said, ""We are all dead men."""
Exodus 12:37	Exodus	12	37	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The children of Israel traveled from Rameses to Succoth, about six hundred thousand on foot who were men, besides children.
Exodus 12:44	Exodus	12	44	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	but everyone's servant who is bought for money, when you have circumcised him, then shall they eat of it.
Exodus 12:48	Exodus	12	48	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	one who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When a stranger shall live as a foreigner with you, and will keep the Passover to YHWH, let all his males be circumcised, and then let him come near and keep it; and they shall be as one who is born in the land: but no uncircumcised person shall eat of it.
Exodus 13:2	Exodus	13	2	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""Sanctify to me all of the firstborn, whatever opens the womb among the children of Israel, both of man and of animal. It is mine."""
Exodus 13:13	Exodus	13	13	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Every firstborn of a donkey you shall redeem with a lamb; and if you will not redeem it, then you shall break its neck; and you shall redeem all the firstborn of man among your sons.
Exodus 13:15	Exodus	13	15	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and it happened, when Pharaoh would hardly let us go, that YHWH killed all the firstborn in the land of Mitzrayim, both the firstborn of man, and the firstborn of animal. Therefore I sacrifice to YHWH all that opens the womb, being males; but all the firstborn of my sons I redeem.'
Exodus 15:2	Exodus	15	2	False	DIVINE-REFERENT REVIEW	HIGH	devotion-object; next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Yah is my strength and song. He has become my salvation. This is my God, and I will praise him; my father's Elohim, and I will exalt him.
Exodus 15:15	Exodus	15	15	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Then the chiefs of Edom were dismayed. Trembling takes hold of the mighty men of Moab. All the inhabitants of Kena'an are melted away.
Exodus 15:25	Exodus	15	25	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Then he cried to YHWH. YHWH showed him a tree, and he threw it into the waters, and the waters were made sweet. There he made a statute and an ordinance for them, and there he tested them;
Exodus 15:26	Exodus	15	26	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"and YHWH said, ""If you will diligently listen to the voice of YHWH your God, and will do that which is right in his eyes, and will pay attention to YHWH’s commandments, and keep all YHWH’s statutes, I will put none of the diseases on you, which I have put on the Egyptians; for I am YHWH who heals you."""
Exodus 16:7	Exodus	16	7	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"and in the morning, then you shall see the glory of YHWH; because he hears your murmurings against YHWH. Who are we, that you murmur against us?"""
Exodus 17:9	Exodus	17	9	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"Moshe said to Yehoshua, ""Choose men for us, and go out, fight with Amalek. Tomorrow I will stand on the top of the hill with Elohim's rod in my hand."""
Exodus 18:21	Exodus	18	21	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Moreover you shall provide out of all the people able men, such as revere God: men of truth, hating unjust gain; and place such over them, to be rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens.
Exodus 18:25	Exodus	18	25	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Moshe chose able men out of all Israel, and made them heads over the people, rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens.
Exodus 19:13	Exodus	19	13	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"No hand shall touch him, but he shall surely be stoned or shot through; whether it is animal or man, he shall not live.' When the trumpet sounds long, they shall come up to the mountain."""
Exodus 20:17	Exodus	20	17	False	GENERIC PRONOUN REVIEW	REVIEW	your neighbor; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	"""You shall not covet your neighbor's house. You shall not covet your neighbor's wife, nor his male servant, nor his female servant, nor his ox, nor his donkey, nor anything that is your neighbor's."""
Exodus 21:6	Exodus	21	6	False	DIVINE-REFERENT REVIEW	HIGH	devotion-object; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	then his master shall bring him to Elohim, and shall bring him to the door or to the doorpost, and his master shall bore his ear through with an awl, and he shall serve him for ever.
Exodus 21:14	Exodus	21	14	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	If someone schemes and comes presumptuously on their neighbor to kill him, you shall take him from my altar, that they may die.
Exodus 21:16	Exodus	21	16	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""Anyone who kidnaps someone and sells him, or if they are found in their hand, they shall surely be put to death."
Exodus 21:18	Exodus	21	18	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""If men quarrel and one strikes the other with a stone, or with his fist, and he doesn't die, but is confined to bed;"
Exodus 21:19	Exodus	21	19	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	if they rise again and walks around with their staff, then the one who struck him shall be cleared: only they shall pay for the loss of their time, and shall provide for their healing until they are thoroughly healed.
Exodus 21:22	Exodus	21	22	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""If men fight and hurt a pregnant woman so that she gives birth prematurely, and yet no harm follows, he shall be surely fined as much as the woman's husband demands and the judges allow."
Exodus 21:26	Exodus	21	26	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""If someone strikes their servant's eye, or their maid's eye, and destroys it, they shall let him go free for their eye's sake."
Exodus 22:1	Exodus	22	1	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""If someone steals an ox or a sheep, and kills it, or sells it; he shall pay five oxen for an ox, and four sheep for a sheep."
Exodus 22:7	Exodus	22	7	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""If someone delivers to their neighbor money or stuff to keep, and it is stolen out of the person's house; if the thief is found, he shall pay double."
Exodus 22:8	Exodus	22	8	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	If the thief isn't found, then the master of the house shall come near to Elohim, to find out if he hasn't put his hand to his neighbor's goods.
Exodus 22:11	Exodus	22	11	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	the oath of YHWH shall be between them both, whether he hasn't put his hand to his neighbor's goods; and the owner of it shall accept it, and he shall not make restitution.
Exodus 22:16	Exodus	22	16	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""If someone entices a virgin who isn't pledged to be married, and lies with her, he shall surely pay a dowry for her to be his wife."
Exodus 22:26	Exodus	22	26	False	GENERIC PRONOUN REVIEW	REVIEW	your neighbor; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	If you take your neighbor's garment as collateral, you shall restore it to him before the sun goes down,
Exodus 22:31	Exodus	22	31	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""You shall be holy men to me, therefore you shall not eat any flesh that is torn by animals in the field. You shall cast it to the dogs."
Exodus 23:2	Exodus	23	2	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	You shall not follow a crowd to do brokenness; neither shall you testify in court to side with a multitude to pervert justice;
Exodus 23:3	Exodus	23	3	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	neither shall you favor a poor man in his cause.
Exodus 23:4	Exodus	23	4	False	GENERIC PRONOUN REVIEW	REVIEW	your enemy; him; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	"""If you meet your enemy's ox or his donkey going astray, you shall surely bring it back to him again."
Exodus 23:5	Exodus	23	5	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	If you see the donkey of the one who hates you fallen down under their burden, don't leave him, you shall surely help him with it.
Exodus 24:14	Exodus	24	14	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He said to the elders, ""Wait here for us, until we come again to you. Behold, Aharon and Hur are with you. Whoever is involved in a dispute can go to them."""
Exodus 25:2	Exodus	25	2	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""Speak to the children of Israel, that they take an offering for me. From everyone whose heart makes him willing you shall take my offering."
Exodus 26:1	Exodus	26	1	False	MASCULINE TERM REVIEW	REVIEW	workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""Moreover you shall make the tent with ten curtains; of fine twined linen, and blue, and purple, and scarlet, with cherubim. The work of the skillful workman you shall make them."
Exodus 26:31	Exodus	26	31	False	MASCULINE TERM REVIEW	REVIEW	workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""You shall make a veil of blue, and purple, and scarlet, and fine twined linen, with cherubim. The work of the skillful workman shall it be made."
Exodus 28:6	Exodus	28	6	False	MASCULINE TERM REVIEW	REVIEW	workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""They shall make the ephod of gold, of blue, and purple, scarlet, and fine twined linen, the work of the skillful workman."
Exodus 28:15	Exodus	28	15	False	MASCULINE TERM REVIEW	REVIEW	workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""You shall make a breastplate of judgment, the work of the skillful workman; like the work of the ephod you shall make it; of gold, of blue, and purple, and scarlet, and fine twined linen, shall you make it."
Exodus 28:35	Exodus	28	35	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	It shall be on Aharon to minister: and the sound of it shall be heard when he goes in to the holy place before YHWH, and when he comes out, that he not die.
Exodus 32:1	Exodus	32	1	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"When the people saw that Moshe delayed to come down from the mountain, the people gathered themselves together to Aharon, and said to him, ""Come, make us gods, which shall go before us; for as for this Moshe, the one who brought us up out of the land of Mitzrayim, we don't know what has become of him."""
Exodus 32:12	Exodus	32	12	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	Why should the Egyptians speak, saying, 'He brought them forth for brokenness, to kill them in the mountains, and to consume them from the surface of the earth?' Turn from your fierce wrath, and relent from this brokenness against your people.
Exodus 32:22	Exodus	32	22	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	"Aharon said, ""Don't let the anger of my lord grow hot. You know the people, that they are set on brokenness."
Exodus 32:23	Exodus	32	23	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	For they said to me, 'Make us gods, which shall go before us; for as for this Moshe, the one who brought us up out of the land of Mitzrayim, we don't know what has become of him.'
Exodus 32:26	Exodus	32	26	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"then Moshe stood in the gate of the camp, and said, ""Whoever is on YHWH's side, come to me!"" All the sons of Levi gathered themselves together to him."
Exodus 32:28	Exodus	32	28	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The sons of Levi did according to the word of Moshe: and there fell of the people that day about three thousand men.
Exodus 32:29	Exodus	32	29	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Moshe said, ""Consecrate yourselves today to YHWH, yes, everyone against their son, and against their brother; that he may bestow on you a blessing this day."""
Exodus 32:33	Exodus	32	33	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"YHWH said to Moshe, ""Whoever has sinned against me, him will I blot out of my book."
Exodus 33:4	Exodus	33	4	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	When the people heard this brokenness news, they mourned: and no one put on their jewelry.
Exodus 33:7	Exodus	33	7	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Now Moshe used to take the tent and to pitch it outside the camp, far away from the camp, and he called it ""The tent of meeting."" It happened that everyone who sought YHWH went out to the tent of meeting, which was outside the camp."
Exodus 33:11	Exodus	33	11	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	YHWH spoke to Moshe face to face, as a person speaks to their friend. He turned again into the camp, but his servant Yehoshua, the son of Nun, a young person, didn't depart out of the Tent.
Exodus 33:20	Exodus	33	20	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"YHWH said, ""You cannot see my face, for man may not see me and live."""
Exodus 34:4	Exodus	34	4	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	He chiseled two tablets of stone like the first; and Moshe rose up early in the morning, and went up to Mount Sinai, as YHWH had commanded him, and took in his hand two stone tablets.
Exodus 34:28	Exodus	34	28	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject; next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	He was there with YHWH forty days and forty nights; he neither ate bread, nor drank water. He wrote on the tablets the words of the covenant, the ten commandments.
Exodus 34:34	Exodus	34	34	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	But when Moshe went in before YHWH to speak with him, he took the veil off, until he came out; and he came out, and spoke to the children of Israel that which he was commanded.
Exodus 35:5	Exodus	35	5	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	'Take from among you an offering to YHWH. Whoever is of a willing heart, let him bring it, YHWH's offering: gold, silver, brass,
Exodus 35:10	Exodus	35	10	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""'Let every wise-hearted man among you come, and make all that YHWH has commanded:"
Exodus 35:21	Exodus	35	21	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	They came, everyone whose heart stirred him up, and everyone whom their spirit made willing, and brought YHWH's offering, for the work of the tent of meeting, and for all of its service, and for the holy garments.
Exodus 35:22	Exodus	35	22	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	They came, both men and women, as many as were willing-hearted, and brought brooches, earrings, signet rings, and armlets, all jewels of gold; even everyone who offered an offering of gold to YHWH.
Exodus 35:35	Exodus	35	35	False	MASCULINE TERM REVIEW	REVIEW	workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	He has filled them with wisdom of heart, to work all manner of workmanship, of the engraver, of the skillful workman, and of the embroiderer, in blue, in purple, in scarlet, and in fine linen, and of the weaver, even of those who do any workmanship, and of those who make skillful works.
Exodus 36:1	Exodus	36	1	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"""Bezalel and Oholiab shall work with every wise-hearted man, in whom YHWH has put wisdom and understanding to know how to work all the work for the service of the sanctuary, according to all that YHWH has commanded."""
Exodus 36:2	Exodus	36	2	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Moshe called Bezalel and Oholiab, and every wise-hearted man, in whose heart YHWH had put wisdom, even everyone whose heart stirred him up to come to the work to do it:
Exodus 36:2	Exodus	36	2	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Moshe called Bezalel and Oholiab, and every wise-hearted man, in whose heart YHWH had put wisdom, even everyone whose heart stirred him up to come to the work to do it:
Exodus 36:4	Exodus	36	4	False	GENERIC PRONOUN REVIEW	REVIEW	the wise; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	All the wise people, who performed all the work of the sanctuary, each came from his work which they did.
Exodus 36:6	Exodus	36	6	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"Moshe gave commandment, and they caused it to be proclaimed throughout the camp, saying, ""Let neither man nor woman make anything else for the offering for the sanctuary."" So the people were restrained from bringing."
Exodus 36:8	Exodus	36	8	False	MASCULINE TERM REVIEW	REVIEW	men; workman	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	All the wise-hearted men among those who did the work made the tent with ten curtains; of fine twined linen, blue, purple, and scarlet, with cherubim, the work of the skillful workman, they made them.
