reference	book	chapter	verse	categories	before	after
Leviticus 13:40	Leviticus	13	40	generic-pronoun	"""If someone's hair has fallen from their head, they are bald. He is clean."	"""If someone's hair has fallen from their head, they are bald. They are clean."
Leviticus 14:8	Leviticus	14	8	generic-pronoun	"""The one who is to be cleansed shall wash their clothes, and shave off all their hair, and bathe themselves in water; and he shall be clean. After that he shall come into the camp, but shall dwell outside his tent seven days."	"""The one who is to be cleansed shall wash their clothes, and shave off all their hair, and bathe themselves in water; and they shall be clean. After that they shall come into the camp, but shall dwell outside their tent seven days."
Leviticus 15:10	Leviticus	15	10	generic-pronoun	Whoever touches anything that was under him shall be unclean until the evening. The one who carries those things shall wash their clothes, and bathe themselves in water, and be unclean until the evening.	Whoever touches anything that was under them shall be unclean until the evening. The one who carries those things shall wash their clothes, and bathe themselves in water, and be unclean until the evening.
Leviticus 15:13	Leviticus	15	13	generic-pronoun	"""'When the one who has a discharge is cleansed of their discharge, then they shall count to themselves seven days for their cleansing, and wash their clothes; and he shall bathe his flesh in running water, and shall be clean."	"""'When the one who has a discharge is cleansed of their discharge, then they shall count to themselves seven days for their cleansing, and wash their clothes; and they shall bathe their flesh in running water, and shall be clean."
Leviticus 15:24	Leviticus	15	24	generic-pronoun	"""'If anyone lies with her, and her monthly flow is on him, they shall be unclean seven days; and every bed whereon he lies shall be unclean."	"""'If anyone lies with her, and her monthly flow is on them, they shall be unclean seven days; and every bed whereon they lies shall be unclean."
Leviticus 17:10	Leviticus	17	10	generic-pronoun	"""'Anyone of the house of Israel, or of the strangers who live as foreigners among them, who eats any kind of blood, I will set my face against that soul who eats blood, and will cut him off from among their people."	"""'Anyone of the house of Israel, or of the strangers who live as foreigners among them, who eats any kind of blood, I will set my face against that soul who eats blood, and will cut them off from among their people."
Leviticus 20:18	Leviticus	20	18	generic-pronoun	"""'If someone lies with a woman having her monthly period, and uncovers her nakedness; he has made naked her fountain, and she has uncovered the fountain of her blood: and both of them shall be cut off from among their people."	"""'If someone lies with a woman having her monthly period, and uncovers her nakedness; they have made naked her fountain, and she has uncovered the fountain of her blood: and both of them shall be cut off from among their people."
Leviticus 24:19	Leviticus	24	19	generic-pronoun	If anyone injures their neighbor; as he has done, so shall it be done to him:	If anyone injures their neighbor; as they have done, so shall it be done to them:
Leviticus 25:29	Leviticus	25	29	generic-pronoun	"""'If someone sells a dwelling house in a walled city, then they may redeem it within a whole year after it has been sold. For a full year he shall have the right of redemption."	"""'If someone sells a dwelling house in a walled city, then they may redeem it within a whole year after it has been sold. For a full year they shall have the right of redemption."
Leviticus 26:6	Leviticus	26	6	lexical	"""'I will give peace in the land, and you shall lie down, and no one will make you afraid; and I will remove brokenness animals out of the land, neither shall the sword go through your land."	"""'I will give peace in the land, and you shall lie down, and no one will make you afraid; and I will remove dangerous animals out of the land, neither shall the sword go through your land."
Numbers 6:9	Numbers	6	9	generic-pronoun	"""If anyone dies very suddenly beside him, and they defiles the head of their separation; then he shall shave his head in the day of his cleansing. On the seventh day he shall shave it."	"""If anyone dies very suddenly beside them, and they defiles the head of their separation; then they shall shave their head in the day of their cleansing. On the seventh day they shall shave it."
Numbers 11:1	Numbers	11	1	lexical	The people were as murmurers, [speaking] brokenness in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.
Numbers 14:27	Numbers	14	27	lexical	How long [shall I bear] with this brokenness congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.	How long [shall I bear] with this rebellious congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.
Numbers 14:35	Numbers	14	35	lexical	I, YHWH, have spoken, surely this will I do to all this brokenness congregation, who are gathered together against me: in this wilderness they shall be consumed, and there they shall die.	I, YHWH, have spoken, surely this will I do to all this rebellious congregation, who are gathered together against me: in this wilderness they shall be consumed, and there they shall die.
Numbers 20:5	Numbers	20	5	lexical	Why have you made us to come up out of Mitzrayim, to bring us in to this brokenness place? it is no place of seed, or of figs, or of vines, or of pomegranates; neither is there any water to drink.	Why have you made us to come up out of Mitzrayim, to bring us in to this barren place? it is no place of seed, or of figs, or of vines, or of pomegranates; neither is there any water to drink.
Numbers 32:13	Numbers	32	13	lexical	YHWH's anger was kindled against Israel, and YHWH made them wander back and forth in the wilderness forty years, until all the generation, who had done brokenness in the sight of YHWH, was consumed.	YHWH's anger was kindled against Israel, and YHWH made them wander back and forth in the wilderness forty years, until all the generation, who had done wrong in the sight of YHWH, was consumed.
Deuteronomy 1:39	Deuteronomy	1	39	lexical	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or brokenness, they shall go in there, and to them will I give it, and they shall possess it.	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.
Deuteronomy 4:25	Deuteronomy	4	25	lexical	When you shall father children, and children's children, and you shall have been long in the land, and shall corrupt yourselves, and make an engraved image in the form of anything, and shall do that which is brokenness in the sight of YHWH your God, to provoke him to anger;	When you shall father children, and children's children, and you shall have been long in the land, and shall corrupt yourselves, and make an engraved image in the form of anything, and shall do that which is wrong in the sight of YHWH your God, to provoke him to anger;
Deuteronomy 7:15	Deuteronomy	7	15	lexical	YHWH will take away from you all sickness; and none of the brokenness diseases of Mitzrayim, which you know, YHWH will put on you, but will lay them on all those who hate you.	YHWH will take away from you all sickness; and none of the evil diseases of Mitzrayim, which you know, YHWH will put on you, but will lay them on all those who hate you.
Deuteronomy 13:5	Deuteronomy	13	5	lexical	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the brokenness from the midst of you.	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.
Deuteronomy 15:9	Deuteronomy	15	9	lexical	Beware that there not be a base thought in your heart, saying, The seventh year, the year of release, is at hand; and your eye be brokenness against your poor brother, and you give him nothing; and he cry to YHWH against you, and it be sin to you.	Beware that there not be a base thought in your heart, saying, The seventh year, the year of release, is at hand; and your eye be harm against your poor brother, and you give him nothing; and he cry to YHWH against you, and it be sin to you.
Deuteronomy 17:1	Deuteronomy	17	1	lexical	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything brokenness; for that is an abomination to YHWH your God.	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.
Deuteronomy 17:2	Deuteronomy	17	2	lexical	If there be found in the midst of you, within any of your gates which YHWH your God gives you, man or woman, who does that which is brokenness in the sight of YHWH your God, in transgressing YHWH’s covenant,	If there be found in the midst of you, within any of your gates which YHWH your God gives you, man or woman, who does that which is wrong in the sight of YHWH your God, in transgressing YHWH’s covenant,
Deuteronomy 17:7	Deuteronomy	17	7	lexical	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.
Deuteronomy 17:12	Deuteronomy	17	12	lexical	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.
Deuteronomy 19:19	Deuteronomy	19	19	lexical	then shall you do to him, as he had thought to do to his brother: so shall you put away the brokenness from the midst of you.	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.
Deuteronomy 19:20	Deuteronomy	19	20	lexical	Those who remain shall hear, and fear, and shall henceforth commit no more any such brokenness in the midst of you.	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.
Deuteronomy 21:21	Deuteronomy	21	21	lexical	All the men of his city shall stone him to death with stones: so shall you put away the brokenness from the midst of you; and all Israel shall hear, and fear.	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.
Deuteronomy 21:22	Deuteronomy	21	22	generic-pronoun	If someone have committed a sin worthy of death, and they be put to death, and you hang him on a tree;	If someone have committed a sin worthy of death, and they be put to death, and you hang them on a tree;
Deuteronomy 22:21	Deuteronomy	22	21	lexical	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the brokenness from the midst of you.	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.
Deuteronomy 22:22	Deuteronomy	22	22	lexical	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the brokenness from Israel.	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.
Deuteronomy 22:24	Deuteronomy	22	24	lexical	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the brokenness from the midst of you.	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.
Deuteronomy 24:7	Deuteronomy	24	7	lexical,generic-pronoun	If someone be found stealing any of their brothers of the children of Israel, and they deal with him as a slave, or sell him; then that thief shall die: so shall you put away the brokenness from the midst of you.	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.
Deuteronomy 25:2	Deuteronomy	25	2	lexical	and it shall be, if the broken person be worthy to be beaten, that the judge shall cause him to lie down, and to be beaten before their face, according to their wickedness, by number.	and it shall be, if the wicked person be worthy to be beaten, that the judge shall cause him to lie down, and to be beaten before their face, according to their wickedness, by number.
Deuteronomy 28:20	Deuteronomy	28	20	lexical	YHWH will send on you cursing, confusion, and rebuke, in all that you put your hand to do, until you are destroyed, and until you perish quickly; because of the brokenness of your doings, by which you have forsaken me.	YHWH will send on you cursing, confusion, and rebuke, in all that you put your hand to do, until you are destroyed, and until you perish quickly; because of the wrongdoing in your doings, by which you have forsaken me.
Deuteronomy 28:54	Deuteronomy	28	54	lexical	The one who is tender among you, and very delicate, their eye shall be brokenness toward their brother, and toward the wife of their bosom, and toward the remnant of their children whom they have remaining;	The one who is tender among you, and very delicate, their eye shall be evil toward their brother, and toward the wife of their bosom, and toward the remnant of their children whom they have remaining;
Deuteronomy 28:56	Deuteronomy	28	56	lexical	The tender and delicate woman among you, who would not adventure to set the sole of her foot on the ground for delicateness and tenderness, her eye shall be brokenness toward the husband of her bosom, and toward her son, and toward her daughter,	The tender and delicate woman among you, who would not adventure to set the sole of her foot on the ground for delicateness and tenderness, her eye shall be evil toward the husband of her bosom, and toward her son, and toward her daughter,
Deuteronomy 29:21	Deuteronomy	29	21	lexical	YHWH will set him apart to brokenness out of all the tribes of Israel, according to all the curses of the covenant that is written in this book of the law.	YHWH will set him apart to evil out of all the tribes of Israel, according to all the curses of the covenant that is written in this book of the law.
Deuteronomy 30:15	Deuteronomy	30	15	lexical	Behold, I have set before you this day life and good, and death and brokenness;	Behold, I have set before you this day life and good, and death and evil;
Deuteronomy 31:18	Deuteronomy	31	18	lexical	I will surely hide my face in that day for all the brokenness which they shall have worked, in that they are turned to other gods.	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.
Deuteronomy 31:29	Deuteronomy	31	29	lexical	For I know that after my death you will utterly corrupt yourselves, and turn aside from the way which I have commanded you; and brokenness will happen to you in the latter days; because you will do that which is brokenness in the sight of YHWH, to provoke him to anger through the work of your hands.	For I know that after my death you will utterly corrupt yourselves, and turn aside from the way which I have commanded you; and evil will happen to you in the latter days; because you will do that which is wrong in the sight of YHWH, to provoke him to anger through the work of your hands.
Joshua 1:18	Joshua	1	18	generic-pronoun	"Whoever rebels against your commandment, and doesn't listen to your words in all that you command him, they shall be put to death. Only be strong and of good courage."""	"Whoever rebels against your commandment, and doesn't listen to your words in all that you command them, they shall be put to death. Only be strong and of good courage."""
Joshua 24:15	Joshua	24	15	lexical	If it seem brokenness to you to serve YHWH, choose you this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve YHWH.	If it seem evil to you to serve YHWH, choose you this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve YHWH.
Joshua 24:20	Joshua	24	20	lexical	If you forsake YHWH, and serve foreign gods, then YHWH will turn and do you brokenness, and consume you, after that YHWH has done you good.	If you forsake YHWH, and serve foreign gods, then YHWH will turn and do you evil, and consume you, after that YHWH has done you good.
Judges 2:15	Judges	2	15	lexical	Wherever they went out, the hand of YHWH was against them for brokenness, as YHWH had spoken, and as YHWH had sworn to them: and they were sore distressed.	Wherever they went out, the hand of YHWH was against them for evil, as YHWH had spoken, and as YHWH had sworn to them: and they were sore distressed.
Judges 20:13	Judges	20	13	lexical	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away brokenness from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.
Judges 20:34	Judges	20	34	lexical	There came over against Gibeah ten thousand chosen men out of all Israel, and the battle was sore; but they didn't know that brokenness was close on them.	There came over against Gibeah ten thousand chosen men out of all Israel, and the battle was sore; but they didn't know that evil was close on them.
Judges 20:41	Judges	20	41	lexical	The people of Israel turned, and the men of Binyamin were dismayed; for they saw that brokenness had come on them.	The people of Israel turned, and the men of Binyamin were dismayed; for they saw that trouble had come on them.
Judges 21:22	Judges	21	22	generic-human	It shall be, when their fathers or their brothers come to complain to us, that we will say to them, Grant them graciously to us, because we didn't take for each man his wife in battle, neither did you give them to them, else would you now be guilty.	It shall be, when their fathers or their brothers come to complain to us, that we will say to them, Grant them graciously to us, because we didn't take for each person his wife in battle, neither did you give them to them, else would you now be guilty.
1 Samuel 6:9	1 Samuel	6	9	lexical	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great brokenness: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""
1 Samuel 12:19	1 Samuel	12	19	lexical	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] brokenness, to ask us a king.	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.
1 Samuel 12:20	1 Samuel	12	20	lexical	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this brokenness; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"
1 Samuel 16:23	1 Samuel	16	23	lexical	It happened, when the [brokenness] spirit from Elohim was on Shaul, that Dawid took the harp, and played with his hand: so Shaul was refreshed, and was well, and the troubling spirit departed from him.	It happened, when the [evil] spirit from Elohim was on Shaul, that Dawid took the harp, and played with his hand: so Shaul was refreshed, and was well, and the troubling spirit departed from him.
1 Samuel 20:7	1 Samuel	20	7	lexical	If he says, 'It is well;' your servant shall have peace: but if he be angry, then know that brokenness is determined by him.	If he says, 'It is well;' your servant shall have peace: but if he be angry, then know that evil is determined by him.
1 Samuel 20:9	1 Samuel	20	9	lexical	"Yonatan said, ""Far be it from you; for if I should at all know that brokenness were determined by my father to come on you, then wouldn't I tell you that?"""	"Yonatan said, ""Far be it from you; for if I should at all know that evil were determined by my father to come on you, then wouldn't I tell you that?"""
1 Samuel 20:13	1 Samuel	20	13	lexical	YHWH do so to Yonatan, and more also, should it please my father to do you brokenness, if I don't disclose it to you, and send you away, that you may go in peace: and YHWH be with you, as YHWH has been with my father.	YHWH do so to Yonatan, and more also, should it please my father to do you evil, if I don't disclose it to you, and send you away, that you may go in peace: and YHWH be with you, as YHWH has been with my father.
1 Samuel 22:2	1 Samuel	22	2	generic-pronoun	Everyone who was in distress, and everyone who was in debt, and everyone who was discontented, gathered themselves to him; and he became captain over them: and there were with him about four hundred men.	Everyone who was in distress, and everyone who was in debt, and everyone who was discontented, gathered themselves to them; and they became captain over them: and there were with them about four hundred men.
1 Samuel 24:11	1 Samuel	24	11	lexical	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither brokenness nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.	Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.
1 Samuel 24:17	1 Samuel	24	17	lexical	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you brokenness.	He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.
1 Samuel 25:3	1 Samuel	25	3	lexical	Now the name of the person was Nabal; and the name of his wife Abigail; and the woman was of good understanding, and of a beautiful face: but the person was churlish and brokenness in their doings; and he was of the house of Kalev.	Now the name of the person was Nabal; and the name of his wife Abigail; and the woman was of good understanding, and of a beautiful face: but the person was churlish and evil in their doings; and he was of the house of Kalev.
1 Samuel 25:17	1 Samuel	25	17	lexical	Now therefore know and consider what you will do; for brokenness is determined against our master, and against all his house: for he is such a worthless fellow that one can't speak to him.	Now therefore know and consider what you will do; for evil is determined against our master, and against all his house: for he is such a worthless fellow that one can't speak to him.
1 Samuel 25:21	1 Samuel	25	21	lexical	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me brokenness for good.	Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.
1 Samuel 25:26	1 Samuel	25	26	lexical	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek brokenness to my lord, be as Nabal.	Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.
1 Samuel 25:28	1 Samuel	25	28	lexical	Please forgive the trespass of your handmaid: for YHWH will certainly make my lord a sure house, because my lord fights the battles of YHWH; and brokenness shall not be found in you all your days.	Please forgive the trespass of your handmaid: for YHWH will certainly make my lord a sure house, because my lord fights the battles of YHWH; and evil shall not be found in you all your days.
1 Samuel 25:39	1 Samuel	25	39	lexical	When Dawid heard that Nabal was dead, he said, Blessed be YHWH, who has pleaded the cause of my reproach from the hand of Nabal, and has kept back his servant from harm: and the brokenness-doing of Nabal has YHWH returned on his own head. Dawid sent and spoke concerning Abigail, to take her to him as wife.	When Dawid heard that Nabal was dead, he said, Blessed be YHWH, who has pleaded the cause of my reproach from the hand of Nabal, and has kept back his servant from harm: and the evil-doing of Nabal has YHWH returned on his own head. Dawid sent and spoke concerning Abigail, to take her to him as wife.
