reference	text
Genesis 3:12	The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”
Genesis 3:13	YHWH Elohim said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”
Genesis 3:14	YHWH Elohim said to the serpent, “Because you have done this, you are cursed above all livestock, and above every animal of the field. You shall go on your belly and you shall eat dust all the days of your life.
Genesis 3:15	I will put hostility between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.”
Genesis 3:16	To the woman YHWH Elohim said, “I will greatly multiply your pain in childbirth. You will bear children in pain. Your desire will be for your husband, and he will rule over you.”
Genesis 3:17	To Adam YHWH Elohim said, “Because you have listened to your wife’s voice, and have eaten from the tree, about which I commanded you, saying, ‘You shall not eat of it,’ the ground is cursed for your sake. You will eat from it with much labor all the days of your life.
Genesis 3:18	It will yield thorns and thistles to you; and you will eat the herb of the field.
Genesis 3:19	You will eat bread by the sweat of your face until you return to the ground, for you were taken out of it. For you are dust, and you shall return to dust.”
Genesis 3:20	The man named his wife Havvah, because she became the mother of all the living.
Genesis 3:21	YHWH Elohim made garments of animal skins for Adam and for his wife, and clothed them.
Genesis 3:22	YHWH Elohim said, “Look, the man has become like one of us, knowing good and brokenness. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”
Genesis 3:23	Therefore YHWH Elohim sent the man out from the garden of Eden, to till the ground from which the man was taken.
Genesis 3:24	So YHWH Elohim drove out the man; and YHWH Elohim placed cherubim at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of life.
Genesis 4:1	Adam knew Havvah his wife. She conceived, and gave birth to Qayin, and said, “I have gotten a person with YHWH’s help.”
Genesis 4:2	Again she gave birth, to Qayin’s brother Hevel. Hevel was a keeper of sheep, but Qayin was a tiller of the ground.
Genesis 4:3	As time passed, Qayin brought an offering to YHWH from the fruit of the ground.
Genesis 4:4	Hevel also brought some of the firstborn of his flock and of its fat. YHWH respected Hevel and his offering,
Genesis 4:5	but YHWH didn’t respect Qayin and his offering. Qayin was very angry, and the expression on his face fell.
Genesis 4:6	YHWH said to Qayin, “Why are you angry? Why has the expression of your face fallen?
Genesis 4:7	If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.”
Genesis 4:8	Qayin said to Hevel, his brother, “Let’s go into the field.” While they were in the field, Qayin rose up against Hevel, his brother, and killed him.
Genesis 4:9	YHWH said to Qayin, “Where is Hevel, your brother?” He said, “I don’t know. Am I my brother’s keeper?”
Genesis 4:10	YHWH said, “What have you done? The voice of your brother’s blood cries to me from the ground.
Genesis 4:11	Now you are cursed because of the ground, which has opened its mouth to receive your brother’s blood from your hand.
Genesis 4:12	From now on, when you till the ground, it won’t yield its strength to you. You will be a fugitive and a wanderer in the earth.”
Genesis 4:13	Qayin said to YHWH, “My punishment is greater than I can bear.
Genesis 4:14	Look, you have driven me out today from the surface of the ground. I will be hidden from your face, and I will be a fugitive and a wanderer in the earth. Whoever finds me will kill me.”
Genesis 4:15	YHWH said to him, “Therefore whoever slays Qayin, vengeance will be taken on him sevenfold.” YHWH appointed a sign for Qayin, so that anyone finding him would not strike him.
Genesis 4:16	Qayin left YHWH’s presence, and lived in the land of Nod, east of Eden.
Genesis 4:17	Qayin knew his wife. She conceived, and gave birth to Chanokh. He built a city, and named the city after the name of his son, Chanokh.
Genesis 4:18	Irad was born to Chanokh. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech.
Genesis 4:19	Lamech took two wives: the name of the first one was Adah, and the name of the second one was Zillah.
Genesis 4:20	Adah gave birth to Jabal, who was the father of those who dwell in tents and have livestock.
Genesis 4:21	His brother’s name was Jubal, who was the father of all who handle the harp and pipe.
Genesis 4:22	Zillah also gave birth to Tubal Cain, the forger of every cutting instrument of bronze and iron. Tubal Cain’s sister was Naamah.
Genesis 4:23	Lamech said to his wives, “Adah and Zillah, hear my voice. You wives of Lamech, listen to my speech, for I have slain a person for wounding me, a young person for bruising me.
Genesis 4:24	If Qayin will be avenged seven times, truly Lamech seventy-seven times.”
Genesis 4:25	Adam knew his wife again. She gave birth to a son, and named him Seth, saying, “for Elohim has given me another child instead of Hevel, for Qayin killed him.”
Genesis 4:26	A son was also born to Seth, and he named him Enosh. At that time men began to call on YHWH’s name.
Genesis 5:1	This is the book of the generations of Adam. In the day that Elohim created humankind, Elohim made them in Elohim’s likeness.
Genesis 5:2	The Elohim created them male and female, and blessed them. On the day they were created, Elohim named them Adam.
Genesis 5:3	Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth.
Genesis 5:4	The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters.
Genesis 5:5	All the days that Adam lived were nine hundred thirty years, then he died.
Genesis 5:6	Seth lived one hundred five years, then became the father of Enosh.
Genesis 5:7	Seth lived after he became the father of Enosh eight hundred seven years, and became the father of other sons and daughters.
Genesis 5:8	All of the days of Seth were nine hundred twelve years, then he died.
Genesis 5:9	Enosh lived ninety years, and became the father of Kenan.
Genesis 5:10	Enosh lived after he became the father of Kenan eight hundred fifteen years, and became the father of other sons and daughters.
Genesis 5:11	All of the days of Enosh were nine hundred five years, then he died.
Genesis 5:12	Kenan lived seventy years, then became the father of Mahalalel.
Genesis 5:13	Kenan lived after he became the father of Mahalalel eight hundred forty years, and became the father of other sons and daughters
Genesis 5:14	and all of the days of Kenan were nine hundred ten years, then he died.
Genesis 5:15	Mahalalel lived sixty-five years, then became the father of Jared.
Genesis 5:16	Mahalalel lived after he became the father of Jared eight hundred thirty years, and became the father of other sons and daughters.
Genesis 5:17	All of the days of Mahalalel were eight hundred ninety-five years, then he died.
Genesis 5:18	Jared lived one hundred sixty-two years, then became the father of Chanokh.
Genesis 5:19	Jared lived after he became the father of Chanokh eight hundred years, and became the father of other sons and daughters.
Genesis 5:20	All of the days of Jared were nine hundred sixty-two years, then he died.
Genesis 5:21	Chanokh lived sixty-five years, then became the father of Methuselah.
Genesis 5:22	After Methuselah’s birth, Chanokh walked with Elohim for three hundred years, and became the father of more sons and daughters.
Genesis 5:23	All the days of Chanokh were three hundred sixty-five years.
Genesis 5:24	Chanokh walked with Elohim, and he was not found, for Elohim took him.
Genesis 5:25	Methuselah lived one hundred eighty-seven years, then became the father of Lamech.
Genesis 5:26	Methuselah lived after he became the father of Lamech seven hundred eighty-two years, and became the father of other sons and daughters.
Genesis 5:27	All the days of Methuselah were nine hundred sixty-nine years, then he died.
Genesis 5:28	Lamech lived one hundred eighty-two years, then became the father of a son.
Genesis 5:29	He named him Noach, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which YHWH has cursed.”
Genesis 5:30	Lamech lived after he became the father of Noach five hundred ninety-five years, and became the father of other sons and daughters.
Genesis 5:31	All the days of Lamech were seven hundred seventy-seven years, then he died.
Genesis 5:32	Noach was five hundred years old, then Noach became the father of Shem, Ham, and Japheth.
Genesis 6:1	When men began to multiply on the surface of the ground, and daughters were born to them,
Genesis 6:2	Elohim’s sons saw that men’s daughters were beautiful, and they took any that they wanted for themselves as wives.
Genesis 6:3	YHWH said, “My Ruach will not remain in humankind forever, for humanity too is flesh. Their days will be one hundred twenty years.”
Genesis 6:4	The Nephilim were in the earth in those days, and also after that, when Elohim’s sons came in to people’s daughters and had children with them.
Genesis 6:5	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only brokenness.
Genesis 6:6	YHWH was sorry that YHWH had made humankind on the earth, and it grieved YHWH’s heart.
Genesis 6:7	YHWH said, “I will destroy humankind whom I have created from the surface of the ground—humankind, along with animals, creeping things, and birds of the heavens—for I am sorry that I have made them.”
Genesis 6:8	But Noach found favor in YHWH’s eyes.
Genesis 6:9	This is the history of the generations of Noach: Noach was a righteous person, blameless among the people of their time. Noach walked with Elohim.
Genesis 6:10	Noach became the father of three sons: Shem, Ham, and Japheth.
Genesis 6:11	The earth was corrupt before Elohim, and the earth was filled with violence.
Genesis 6:12	Elohim saw the earth, and saw that it was corrupt, for all flesh had corrupted their way on the earth.
Genesis 6:13	Elohim said to Noach, “I will bring an end to all flesh, for the earth is filled with violence through them. Look, I will destroy them and the earth.
Genesis 6:14	Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.
Genesis 6:15	This is how you shall make it. The length of the ship shall be three hundred cubits, its width fifty cubits, and its height thirty cubits.
Genesis 6:16	You shall make a roof in the ship, and you shall finish it to a cubit upward. You shall set the door of the ship in its side. You shall make it with lower, second, and third levels.
Genesis 6:17	“As for me—look, I am bringing the flood of waters upon the earth, to ruin all flesh in which is the breath of life from under the heavens. Everything that is on the earth will breathe its last.”
Genesis 6:18	But I will establish my covenant with you. You shall come into the ship, you, your sons, your wife, and your sons’ wives with you.
Genesis 6:19	Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.
Genesis 6:20	Of the birds after their kind, of the livestock after their kind, of every creeping thing of the ground after its kind, two of every sort will come to you, to keep them alive.
Genesis 6:21	Take with you some of all food that is eaten, and gather it to yourself; and it will be for food for you, and for them.”
Genesis 6:22	Thus Noach did. He did all that Elohim commanded him.
Genesis 7:1	YHWH said to Noach, “Come with all of your household into the ship, for I have seen your righteousness before me in this generation.
Genesis 7:2	You shall take seven pairs of every clean animal with you, the male and his female. Of the animals that are not clean, take two, the male and his female.
Genesis 7:3	Also of the birds of the heavens, seven and seven, male and female, to keep seed alive on the surface of all the earth.
Genesis 7:4	In seven days, I will cause it to rain on the earth for forty days and forty nights. I will destroy every living thing that I have made from the surface of the ground.”
Genesis 7:5	Noach did everything that YHWH commanded him.
Genesis 7:6	Noach was six hundred years old when the flood of waters came on the earth.
Genesis 7:7	Noach went into the ship with his sons, his wife, and his sons’ wives, because of the floodwaters.
Genesis 7:8	Clean animals, unclean animals, birds, and everything that creeps on the ground
Genesis 7:9	went by pairs to Noach into the ship, male and female, as Elohim commanded Noach.
Genesis 7:10	After the seven days, the floodwaters came on the earth.
Genesis 7:11	In the six hundredth year of Noach’s life, in the second month, on the seventeenth day of the month, on that day all the fountains of the great deep burst open, and the heavens’s windows opened.
Genesis 7:12	It rained on the earth forty days and forty nights.
Genesis 7:13	In the same day Noach, and Shem, Ham, and Japheth—the sons of Noach—and Noach’s wife and the three wives of his sons with them, entered into the ship—
Genesis 7:14	they, and every animal after its kind, all the livestock after their kind, every creeping thing that creeps on the earth after its kind, and every bird after its kind, every bird of every sort.
Genesis 7:15	Pairs from all flesh with the breath of life in them went into the ship to Noach.
Genesis 7:16	Those who went in, went in male and female of all flesh, as Elohim commanded Noach; then YHWH shut Noach in.
Genesis 7:17	The flood was forty days on the earth. The waters increased, and lifted up the ship, and it was lifted up above the earth.
Genesis 7:18	The waters rose, and increased greatly on the earth; and the ship floated on the surface of the waters.
Genesis 7:19	The waters rose very high on the earth. All the high mountains that were under the whole sky were covered.
Genesis 7:20	The waters rose fifteen cubits higher, and the mountains were covered.
Genesis 7:21	All flesh died that moved on the earth, including birds, livestock, animals, every creeping thing that creeps on the earth, and everyone.
Genesis 7:22	All on the dry land, in whose nostrils was the breath of the spirit of life, died.
Genesis 7:23	Every living thing was destroyed that was on the surface of the ground, including man, livestock, creeping things, and birds of the heavens. They were destroyed from the earth. Only Noach was left, and those who were with him in the ship.
Genesis 7:24	The waters flooded the earth one hundred fifty days.
Genesis 8:1	Elohim remembered Noach, all the animals, and all the livestock that were with him in the ship; and Elohim made a wind to pass over the earth. The waters subsided.
Genesis 8:2	The deep’s fountains and the heavens’s windows were also stopped, and the rain from the heavens was restrained.
Genesis 8:3	The waters continually receded from the earth. After the end of one hundred fifty days the waters receded.
Genesis 8:4	The ship rested in the seventh month, on the seventeenth day of the month, on Ararat’s mountains.
Genesis 8:5	The waters receded continually until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains were visible.
Genesis 8:6	At the end of forty days, Noach opened the window of the ship which he had made,
Genesis 8:7	and he sent out a raven. It went back and forth, until the waters were dried up from the earth.
Genesis 8:8	He himself sent out a dove to see if the waters were abated from the surface of the ground,
Genesis 8:9	but the dove found no place to rest her foot, and she returned into the ship to him, for the waters were on the surface of the whole earth. He put out his hand, and took her, and brought her to him into the ship.
Genesis 8:10	He waited yet another seven days; and again he sent the dove out of the ship.
Genesis 8:11	The dove came back to him at evening and, look, in her mouth was a freshly plucked olive leaf. So Noach knew that the waters were abated from the earth.
Genesis 8:12	He waited yet another seven days, and sent out the dove; and she didn’t return to him any more.
Genesis 8:13	In the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noach removed the covering of the ship, and looked. He saw that the surface of the ground was dry.
Genesis 8:14	In the second month, on the twenty-seventh day of the month, the earth was dry.
Genesis 8:15	Elohim spoke to Noach, saying,
Genesis 8:16	“Go out of the ship, you, your wife, your sons, and your sons’ wives with you.
Genesis 8:17	Bring out with you every living thing that is with you of all flesh, including birds, livestock, and every creeping thing that creeps on the earth, that they may breed abundantly in the earth, and be fruitful, and multiply on the earth.”
Genesis 8:18	Noach went out, with his sons, his wife, and his sons’ wives with him.
Genesis 8:19	Every animal, every creeping thing, and every bird, whatever moves on the earth, after their families, went out of the ship.
Genesis 8:20	Noach built an altar to YHWH, and took of every clean animal, and of every clean bird, and offered burnt offerings on the altar.
Genesis 8:21	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart is brokenness from youth. I will never again strike every living thing, as I have done.
Genesis 8:22	While the earth remains, seed time and harvest, and cold and heat, and summer and winter, and day and night will not cease.”
Genesis 9:1	Elohim blessed Noach and his sons, and said to them, “Be fruitful, multiply, and replenish the earth.
Genesis 9:2	The fear of you and the dread of you will be on every animal of the earth, and on every bird of the heavens. Everything that moves along the ground, and all the fish of the sea, are delivered into your hand.
Genesis 9:3	Every moving thing that lives will be food for you. As I gave you the green herb, I have given everything to you.
Genesis 9:4	But flesh with its life, that is, its blood, you shall not eat.
Genesis 9:5	I will surely require accounting for your life’s blood. At the hand of every animal I will require it. At the human hand, even at the hand of another person, I will require human life.
Genesis 9:6	“Whoever sheds human blood, by humans shall their blood be shed; for in the image of Elohim Elohim made humankind.”
Genesis 9:7	Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.”
Genesis 9:8	Elohim spoke to Noach and to his sons with him, saying,
Genesis 9:9	“As for me, look, I establish my covenant with you, and with your offspring after you,
Genesis 9:10	and with every living creature that is with you: the birds, the livestock, and every animal of the earth with you, of all that go out of the ship, even every animal of the earth.
Genesis 9:11	I will establish my covenant with you: All flesh will not be cut off any more by the waters of the flood. There will never again be a flood to destroy the earth.”
Genesis 9:12	Elohim said, “This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:
Genesis 9:13	I set my rainbow in the cloud, and it will be a sign of a covenant between me and the earth.
Genesis 9:14	When I bring a cloud over the earth, that the rainbow will be seen in the cloud,
Genesis 9:15	I will remember my covenant, which is between me and you and every living creature of all flesh, and the waters will no more become a flood to destroy all flesh.
Genesis 9:16	The rainbow will be in the cloud. I will look at it, that I may remember the everlasting covenant between Elohim and every living creature of all flesh that is on the earth.”
Genesis 9:17	Elohim said to Noach, “This is the token of the covenant which I have established between me and all flesh that is on the earth.”
Genesis 9:18	The sons of Noach who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Kena'an.
Genesis 9:19	These three were the sons of Noach, and from these the whole earth was populated.
Genesis 9:20	Noach began to be a farmer, and planted a vineyard.
Genesis 9:21	He drank of the wine and got drunk. He was uncovered within his tent.
Genesis 9:22	Ham, the father of Kena'an, saw the nakedness of his father, and told his two brothers outside.
Genesis 9:23	Shem and Japheth took a garment, and laid it on both their shoulders, went in backwards, and covered the nakedness of their father. Their faces were backwards, and they didn’t see their father’s nakedness.
Genesis 9:24	Noach awoke from his wine, and knew what his youngest son had done to him.
Genesis 9:25	He said, “Kena'an is cursed. He will be a servant of servants to his brothers.”
Genesis 9:26	He said, “Blessed be YHWH, the God of Shem. Let Kena'an be his servant.
Genesis 9:27	May Elohim enlarge Japheth. Let him dwell in the tents of Shem. Let Kena'an be his servant.”
Genesis 9:28	Noach lived three hundred fifty years after the flood.
Genesis 9:29	All the days of Noach were nine hundred fifty years, and then he died.
Genesis 10:1	Now this is the history of the generations of the sons of Noach and of Shem, Ham, and Japheth. Sons were born to them after the flood.
Genesis 10:2	The sons of Japheth were: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
Genesis 10:3	The sons of Gomer were: Ashkenaz, Riphath, and Togarmah.
Genesis 10:4	The sons of Javan were: Elishah, Tarshish, Kittim, and Dodanim.
Genesis 10:5	Of these were the islands of the nations divided in their lands, everyone after their language, after their families, in their nations.
Genesis 10:6	The sons of Ham were: Cush, Mizraim, Put, and Kena'an.
Genesis 10:7	The sons of Cush were: Seba, Havilah, Sabtah, Raamah, and Sabteca. The sons of Raamah were: Sheba and Dedan.
Genesis 10:8	Cush became the father of Nimrod. He began to be a mighty one in the earth.
Genesis 10:9	He was a mighty hunter before YHWH. Therefore it is said, “like Nimrod, a mighty hunter before YHWH”.
Genesis 10:10	The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar.
Genesis 10:11	Out of that land he went into Ashur, and built Ninveh, Rehoboth Ir, Calah,
Genesis 10:12	and Resen between Ninveh and the great city Calah.
Genesis 10:13	Mizraim became the father of Ludim, Anamim, Lehabim, Naphtuhim,
Genesis 10:14	Pathrusim, Casluhim (which the Philistines descended from), and Caphtorim.
Genesis 10:15	Kena'an became the father of Tzidon (his firstborn), Heth,
Genesis 10:16	the Jebusites, the Amorites, the Girgashites,
Genesis 10:17	the Hivites, the Arkites, the Sinites,
Genesis 10:18	the Arvadites, the Zemarites, and the Hamathites. Afterward the families of the Canaanites were spread abroad.
Genesis 10:19	The border of the Canaanites was from Tzidon—as you go toward Gerar—to Azzah—as you go toward Sedom, Amora, Admah, and Zeboiim—to Lasha.
Genesis 10:20	These are the sons of Ham, after their families, according to their languages, in their lands and their nations.
Genesis 10:21	Children were also born to Shem (the elder brother of Japheth), the father of all the children of Eber.
Genesis 10:22	The sons of Shem were: Elam, Asshur, Arpachshad, Lud, and Aram.
Genesis 10:23	The sons of Aram were: Uz, Hul, Gether, and Mash.
Genesis 10:24	Arpachshad became the father of Shelah. Shelah became the father of Eber.
Genesis 10:25	To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother’s name was Joktan.
Genesis 10:26	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah,
Genesis 10:27	Hadoram, Uzal, Diklah,
Genesis 10:28	Obal, Abimael, Sheba,
Genesis 10:29	Ophir, Havilah, and Jobab. All these were the sons of Joktan.
Genesis 10:30	Their dwelling extended from Mesha, as you go toward Sephar, the mountain of the east.
Genesis 10:31	These are the sons of Shem, by their families, according to their languages, lands, and nations.
Genesis 10:32	These are the families of the sons of Noach, by their generations, according to their nations. The nations divided from these in the earth after the flood.
Genesis 11:1	All the earth was of one lip and one set of words.
Genesis 11:2	As they traveled east, they found a plain in the land of Shinar, and they lived there.
Genesis 11:3	They said to one another, “Come, let’s make bricks, and burn them thoroughly.” They had brick for stone, and they used tar for mortar.
Genesis 11:4	They said, “Come, let’s build ourselves a city, and a tower whose top reaches to the heavens, and let’s make a name for ourselves, lest we be scattered abroad on the surface of the whole earth.”
Genesis 11:5	YHWH came down to see the city and the tower, which the children of people built.
Genesis 11:6	YHWH said, “Look, they are one people, and they all have one language, and this is what they begin to do. Now nothing will be withheld from them, which they intend to do.
Genesis 11:7	Come, let’s go down, and there confuse their language, that they may not understand one another’s speech.”
Genesis 11:8	So YHWH scattered them abroad from there on the surface of all the earth. They stopped building the city.
Genesis 11:9	Therefore its name was called Babel, because there YHWH confused the language of all the earth. From there, YHWH scattered them abroad on the surface of all the earth.
Genesis 11:10	This is the history of the generations of Shem: Shem was one hundred years old when he became the father of Arpachshad two years after the flood.
Genesis 11:11	Shem lived five hundred years after he became the father of Arpachshad, and became
Genesis 11:12	Arpachshad lived thirty-five years and became the father of Shelah.
Genesis 11:13	Arpachshad lived four hundred three years after he became the father of Shelah, and became the father of more sons and daughters.
Genesis 11:14	Shelah lived thirty years, and became the father of Eber.
Genesis 11:15	Shelah lived four hundred three years after he became the father of Eber, and became the father of more sons and daughters.
Genesis 11:16	Eber lived thirty-four years, and became the father of Peleg.
Genesis 11:17	Eber lived four hundred thirty years after he became the father of Peleg, and became the father of more sons and daughters.
Genesis 11:18	Peleg lived thirty years, and became the father of Reu.
Genesis 11:19	Peleg lived two hundred nine years after he became the father of Reu, and became the father of more sons and daughters.
Genesis 11:20	Reu lived thirty-two years, and became the father of Serug.
Genesis 11:21	Reu lived two hundred seven years after he became the father of Serug, and became the father of more sons and daughters.
Genesis 11:22	Serug lived thirty years, and became the father of Nahor.
