reference	triggers	text
Psalms 31:23	his	Oh love YHWH, all you his saints! YHWH preserves the faithful, and fully recompenses the one who behaves arrogantly.
Psalms 32:6	him	For this, let everyone who is godly pray to you in a time when you may be found. Surely when the great waters overflow, they shall not reach to him.
Psalms 33:8	him	Let all the earth revere YHWH. Let all the inhabitants of the world stand in awe of him.
Psalms 33:11	his	The counsel of YHWH stands fast forever, the thoughts of his heart to all generations.
Psalms 33:16	king	There is no king saved by the multitude of an army. A mighty person is not delivered by great strength.
Psalms 33:17	he, his	A horse is a vain thing for safety, neither does he deliver any by his great power.
Psalms 34:5	him	They looked to him, and were radiant. Their faces shall never be covered with shame.
Psalms 34:6	man, him, his	This poor man cried, and YHWH heard him, and saved him out of all his troubles.
Psalms 34:7	him	The angel of YHWH encamps round about those who revere him, and delivers them.
Psalms 34:8	him	Oh taste and see that YHWH is good. Blessed is the one who takes refuge in him.
Psalms 34:19	him	Many are the afflictions of the righteous, but YHWH delivers him out of them all.
Psalms 34:20	his	YHWH protects all of his bones. Not one of them is broken.
Psalms 35:8	him, his, he, himself	Let destruction come on him unawares. Let his net that he has hidden catch himself. Let him fall into that destruction.
Psalms 35:9	his	My soul shall be joyful in YHWH. It shall rejoice in his salvation.
Psalms 35:10	him	"All my bones shall say, ""YHWH, who is like you, who delivers the poor from the one who is too strong for them; yes, the poor and the needy from the one who robs him?"""
Psalms 35:14	brother	I behaved myself as though it had been my friend or my brother. I bowed down mourning, as one who mourns their mother.
Psalms 35:25	him	"Don't let them say in their heart, ""Aha! That's the way we want it!"" Don't let them say, ""We have swallowed him up!"""
Psalms 36:1	his	"An oracle is within my heart about the disobedience of the wicked: ""There is no reverence for God before his eyes."""
Psalms 36:2	he, himself, his	For he flatters himself in his own eyes, too much to detect and hate his sin.
Psalms 36:3	his, he	The words of his mouth are iniquity and deceit. He has ceased to be wise and to do good.
Psalms 36:4	he, his, himself	He plots iniquity on his bed. He sets himself in a way that is not good. He doesn't abhor brokenness.
Psalms 36:6	man	Your righteousness is like the mountains of Elohim. Your judgments are like a great deep. YHWH, you preserve man and animal.
Psalms 37:4	he	Also delight yourself in YHWH, and he will give you the desires of your heart.
Psalms 37:5	him, he	Commit your way to YHWH. Trust also in him, and he will do this:
Psalms 37:6	he	he will make your righteousness go forth as the light, and your justice as the noon day sun.
Psalms 37:7	him	Rest in YHWH, and wait patiently for him. Don't fret because of the one who prospers in their way, because of the one who makes wicked plots happen.
Psalms 37:10	his, he	For yet a little while, and the wicked will be no more. Yes, though you look for his place, he isn't there.
Psalms 37:12	him, his	The wicked plots against the just, and gnashes at him with his teeth.
Psalms 37:13	him, his	YHWH will laugh at him, for YHWH sees that his day is coming.
Psalms 37:22	him	For such as are blessed by him shall inherit the land. Those who are cursed by him shall be cut off.
Psalms 37:23	his	A person's goings are established by YHWH. YHWH delights in his way.
Psalms 37:24	he, him, his	Though he stumble, he shall not fall, for YHWH holds him up with his hand.
Psalms 37:25	his	I have been young, and now am old, yet I have not seen the righteous forsaken, nor his children begging for bread.
Psalms 37:26	he, his	All day long he deals graciously, and lends. His seed is blessed.
Psalms 37:28	his	For YHWH loves justice, and doesn't forsake his saints. They are preserved forever, but the children of the wicked shall be cut off.
Psalms 37:30	his	The mouth of the righteous talks of wisdom. His tongue speaks justice.
Psalms 37:31	his	The law of his God is in his heart. None of his steps shall slide.
Psalms 37:32	him	The wicked watches the righteous, and seeks to kill him.
Psalms 37:33	him, his, he	YHWH will not leave him in his hand, nor condemn him when he is judged.
Psalms 37:35	himself	I have seen the wicked in great power, spreading himself like a green tree in its native soil.
Psalms 37:36	he, him	But he passed away, and behold, he was not. Yes, I sought him, but he could not be found.
Psalms 37:37	man	Mark the perfect man, and see the upright, for there is a future for the person of peace.
Psalms 38:11	kinsmen	My lovers and my friends stand aloof from my plague. My kinsmen stand far away.
Psalms 38:13	man, his	But I, as a deaf man, don't hear. I am as a mute man who doesn't open his mouth.
Psalms 39:6	he	"""Surely everyone walks like a shadow. Surely they busy themselves in vain. He heaps up, and doesn't know who shall gather."
Psalms 39:11	man, his	"When you rebuke and correct man for iniquity, You consume his wealth like a moth. Surely everyone is but a breath."" Selah."
Psalms 39:12	fathers	"""Hear my prayer, YHWH, and give ear to my cry. Don't be silent at my tears. For I am a stranger with you, a foreigner, as all my fathers were."
Psalms 41:1	him	Blessed is the one who considers the poor. YHWH will deliver him in the day of brokenness.
Psalms 41:2	him, he, his	YHWH will preserve him, and keep him alive. He shall be blessed on the earth, and YHWH will not surrender him to the will of his enemies.
Psalms 41:3	him, his	YHWH will sustain him on his sickbed, and restore him from his bed of illness.
Psalms 41:5	he, his	"My enemies speak harmfully against me: ""When will he die, and his name perish?"""
Psalms 41:6	he, his	If he comes to see me, he speaks falsehood. His heart gathers iniquity to itself. When he goes abroad, he tells it.
Psalms 41:8	him, he	"""A grievous disease,"" they say, ""has afflicted him. Now that he lies he shall rise up no more."""
Psalms 41:9	his	Yes, my own familiar friend, in whom I trusted, who ate bread with me, has lifted up his heel against me.
Psalms 41:13	amen	Blessed be YHWH, the God of Israel, from everlasting and to everlasting! Amen and amen.
Psalms 42:5	him, his	Why are you in despair, my soul? Why are you disturbed within me? Hope in Elohim! For I shall still praise him for the saving help of his presence.
Psalms 42:11	him	Why are you in despair, my soul? Why are you disturbed within me? Hope in Elohim! For I shall still praise him, the saving help of my countenance, and my God.
Psalms 43:1	men	Vindicate me, Elohim, and plead my cause against an ungodly nation. Oh, deliver me from deceitful and wicked men.
Psalms 43:5	him	Why are you in despair, my soul? Why are you disturbed within me? Hope in Elohim! For I shall still praise him: my Savior, my helper, and my God.
Psalms 44:1	fathers	We have heard with our ears, Elohim; our fathers have told us, what work you did in their days, in the days of old.
Psalms 44:4	king	You are my King, Elohim. Command victories for Ya'akov!
Psalms 44:21	he	won't Elohim search this out? For he knows the secrets of the heart.
Psalms 45:1	king	My heart overflows with a noble theme. I recite my verses for the king. My tongue is like the pen of a skillful writer.
Psalms 45:5	king	Your arrows are sharp. The nations fall under you, with arrows in the heart of the king's enemies.
Psalms 45:9	kings	Kings' daughters are among your honorable women. At your right hand the queen stands in gold of Ophir.
Psalms 45:10	father	Listen, daughter, consider, and turn your ear. Forget your own people, and also your father's house.
Psalms 45:11	king, him, he, lord	So the king will desire your beauty, honor him, for he is your lord.
Psalms 45:14	king	She shall be led to the king in embroidered work. The virgins, her companions who follow her, shall be brought to you.
Psalms 45:15	king	With gladness and rejoicing they shall be led. They shall enter into the king's palace.
Psalms 45:16	sons, fathers, princes	Your sons will take the place of your fathers. You shall make them princes in all the earth.
Psalms 47:2	king	For YHWH Most High is awesome. YHWH is a great King over all the earth.
Psalms 47:6	king	Sing praise to Elohim, sing praises. Sing praises to our King, sing praises.
Psalms 47:7	king	For Elohim is the King of all the earth. Sing praises with understanding.
Psalms 47:8	his	Elohim reigns over the nations. Elohim sits on his holy throne.
Psalms 47:9	princes	The princes of the peoples are gathered together, the people of the God of Avraham. For the shields of the earth belong to Elohim. Elohim is greatly exalted!
Psalms 48:2	king	Beautiful in elevation, the joy of the whole earth, is Har Tzion, on the north sides, the city of the great King.
Psalms 48:4	kings	For, behold, the kings assembled themselves, they passed by together.
Psalms 49:7	his, brother, him	none of them can by any means redeem his brother, nor give Elohim a ransom for him.
Psalms 49:9	he	That he should live on forever, that he should not see corruption.
Psalms 49:10	he	For he sees that wise people die; likewise the fool and the senseless perish, and leave their wealth to others.
Psalms 49:12	man, his, he	But man, despite his riches, doesn't endure. He is like the animals that perish.
Psalms 49:17	he, his, him	For when he dies he shall carry nothing away. His glory shall not descend after him.
Psalms 49:18	he, his, men	Though while he lived he blessed his soul--and men praise you when you do well for yourself--
Psalms 49:19	he, his, fathers	he shall go to the generation of his fathers. They shall never see the light.
Psalms 50:3	him	our God comes, and does not keep silent. A fire devours before him. It is very stormy around him.
Psalms 50:9	male	I have no need for a bull from your stall, nor male goats from your pens.
Psalms 50:18	him	When you saw a thief, you consented with him, and have participated with adulterers.
Psalms 50:20	brother, son	You sit and speak against your brother. You slander your own mother's son.
Psalms 52:1	man	Why do you boast of mischief, mighty man? Elohim's loving kindness endures continually.
Psalms 52:6	him	The righteous also will see it, and fear, and laugh at him, saying,
Psalms 54:3	men	For strangers have risen up against me. Violent men have sought after my soul. They haven't set Elohim before them. Selah.
Psalms 54:7	he	For he has delivered me out of all trouble. My eye has seen triumph over my enemies.
Psalms 55:12	him	For it was not an enemy who insulted me, then I could have endured it. Neither was it the one who hated me who raised themselves up against me, then I would have hid myself from him.
Psalms 55:20	he, his	He raises his hands against his friends. He has violated his covenant.
Psalms 55:21	his	His mouth was smooth as butter, but his heart was war. His words were softer than oil, yet they were drawn swords.
Psalms 56:1	man, he	Be merciful to me, Elohim, for man wants to swallow me up. All day long, he attacks and oppresses me.
Psalms 56:4	his	In Elohim, I praise his word. In Elohim, I put my trust. I will not be afraid. What can flesh do to me?
Psalms 56:10	his	In Elohim, I will praise his word. In YHWH, I will praise his word.
Psalms 56:11	man	I have put my trust in Elohim. I will not be afraid. What can man do to me?
Psalms 58:9	he	Before your pots can feel the heat of the thorns, he will sweep away the green and the burning alike.
Psalms 58:10	he, his	The righteous shall rejoice when he sees the vengeance. He shall wash his feet in the blood of the wicked;
Psalms 59:2	men	Deliver me from the workers of iniquity. Save me from the bloodthirsty men.
Psalms 60:6	his	"Elohim has spoken from his sanctuary: ""I will triumph. I will divide Shekhem, and measure out the valley of Succoth."
Psalms 61:6	king, his	You will prolong the king's life; his years shall be for generations.
Psalms 61:7	he, him	He shall be enthroned in Elohim's presence forever. Appoint your loving kindness and truth, that they may preserve him.
Psalms 62:3	him	How long will you assault a person, would all of you throw him down, Like a leaning wall, like a tottering fence?
Psalms 62:4	him, his	They fully intend to throw him down from his lofty place. They delight in lies. They bless with their mouth, but they curse inwardly. Selah.
Psalms 62:9	men	Surely men of low degree are just a breath, and men of high degree are a lie. In the balances they will go up. They are together lighter than a breath.
Psalms 63:11	king, him	But the king shall rejoice in Elohim. Everyone who swears by him will praise him, for the mouth of those who speak lies shall be silenced.
Psalms 64:4	men, him	to shoot innocent men from ambushes. They shoot at him suddenly and fearlessly.
Psalms 64:9	he	All humanity shall be afraid. They shall declare the work of Elohim, and shall wisely ponder what he has done.
Psalms 64:10	him	The righteous shall be glad in YHWH, and shall take refuge in him. All the upright in heart shall praise him!
Psalms 65:4	he	Blessed is one whom you choose, and cause to come near, that he may live in your courts. We will be filled with the goodness of your house, your holy temple.
Psalms 65:6	his	Who by his power forms the mountains, having armed yourself with strength;
Psalms 66:12	men	You allowed men to ride over our heads. We went through fire and through water, but you brought us to the place of abundance.
Psalms 67:7	him	Elohim will bless us. All the ends of the earth shall revere him.
Psalms 68:12	kings	"""Kings of armies flee! They flee!"" She who waits at home divides the spoil,"
Psalms 68:14	kings	When the Almighty scattered kings in her, it snowed on Zalmon.
Psalms 68:18	men	You have ascended on high. You have led away captives. You have received gifts among men, yes, among the rebellious also, that Yah Elohim might dwell there.
Psalms 68:21	his	But Elohim will strike through the head of Elohim’s enemies, the hairy scalp of such a one as still continues in his guiltiness.
Psalms 68:24	king	They have seen your processions, Elohim, even the processions of my God, my King, into the sanctuary.
Psalms 68:27	princes	There is little Binyamin, their ruler, the princes of Yehudah, their council, the princes of Zevulun, and the princes of Naphtali.
Psalms 68:29	kings	Because of your temple at Yerushalayim, kings shall bring presents to you.
Psalms 68:31	princes	Princes shall come out of Mitzrayim. Ethiopia shall hurry to stretch out her hands to Elohim.
Psalms 69:8	brothers	I have become a stranger to my brothers, an alien to my mother's children.
Psalms 69:33	his	For YHWH hears the needy, and doesn't despise his captive people.
Psalms 69:34	him	Let heavens and earth praise him; the seas, and everything that moves therein!
Psalms 71:4	man	Rescue me, my God, from the hand of the wicked, from the hand of the unrighteous and cruel man.
Psalms 71:11	him	"saying, ""Elohim has forsaken him. Pursue and take him, for no one will rescue him."""
Psalms 72:1	king, son	Elohim, give the king your justice; your righteousness to the royal son.
Psalms 72:2	he	He will judge your people with righteousness, and your poor with justice.
Psalms 72:4	he	He will judge the poor of the people. He will save the children of the needy, and will break the oppressor in pieces.
Psalms 72:6	he	He will come down like rain on the mown grass, as showers that water the earth.
Psalms 72:7	his	In his days, the righteous shall flourish, and abundance of peace, until the moon is no more.
Psalms 72:8	he	He shall have dominion also from sea to sea, from the River to the ends of the earth.
Psalms 72:9	him, his	Those who dwell in the wilderness shall bow before him. His enemies shall lick the dust.
Psalms 72:10	kings	The kings of Tarshish and of the islands will bring tribute. The kings of Sheba and Seba shall offer gifts.
Psalms 72:11	kings, him	Yes, all kings shall fall down before him. All nations shall serve him.
Psalms 72:12	he	For he will deliver the needy when he cries; the poor, who has no helper.
Psalms 72:13	he	He will have pity on the poor and needy. He will save the souls of the needy.
Psalms 72:14	he, his	He will redeem their soul from oppression and violence. Their blood will be precious in his sight.
Psalms 72:15	him	They shall live, and to him shall be given of the gold of Sheba. People shall pray for him continually. They shall bless him all day long.
Psalms 72:17	his, him	His name endures forever. His name continues as long as the sun. People shall be blessed by him. All nations will call him blessed.
Psalms 72:19	amen	Blessed be YHWH’s glorious name forever! Let the whole earth be filled with YHWH’s glory! Amen and amen.
Psalms 72:20	son	This ends the prayers by Dawid, the son of Yishai.
Psalms 73:5	men	They are free from burdens of people, neither are they plagued like other men.
Psalms 74:5	men	They behaved like men wielding axes, cutting through a thicket of trees.
Psalms 74:12	king	Yet Elohim is my King of old, working salvation in the midst of the earth.
Psalms 74:14	him	You broke the heads of Leviathan in pieces. You gave him as food to people and desert creatures.
Psalms 75:1	men	We give thanks to you, Elohim. We give thanks, for your Name is near. Men tell about your wondrous works.
Psalms 75:8	he	For in the hand of YHWH there is a cup, full of foaming wine mixed with spices. He pours it out. Indeed the wicked of the earth drink and drink it to its very dregs.
Psalms 76:5	men	Valiant men lie plundered, they have slept their last sleep. None of the men of war can lift their hands.
Psalms 76:10	man	Surely the wrath of man praises you. The survivors of your wrath are restrained.
Psalms 76:12	princes, kings	Elohim will cut off the spirit of princes. Elohim is feared by the kings of the earth.
Psalms 77:1	him	My cry goes to Elohim! Indeed, I cry to Elohim for help, and for him to listen to me.
Psalms 77:7	he	"""Will YHWH reject us forever? Will he be favorable no more?"
Psalms 77:9	he, his	"Has Elohim forgotten to be gracious? Has he, in anger, withheld his compassion?"" Selah."
Psalms 77:15	sons	You have redeemed your people with your arm, the sons of Ya'akov and Yosef. Selah.
Psalms 78:3	fathers	Which we have heard and known, and our fathers have told us.
Psalms 78:5	fathers	For YHWH established a testimony in Ya'akov, and appointed a teaching in Israel, which YHWH commanded our fathers, that they should make them known to their children;
Psalms 78:8	fathers	and might not be as their fathers, a stubborn and rebellious generation, a generation that didn't make their hearts loyal, whose spirit was not steadfast with Elohim.
Psalms 78:12	fathers	Elohim did marvelous things in the sight of their fathers, in the land of Mitzrayim, in the field of Zoan.
Psalms 78:25	man	Man ate the bread of angels. Elohim sent them food to the full.
Psalms 78:57	fathers	but turned back, and dealt treacherously like their fathers. They were turned aside like a deceitful bow.
Psalms 78:60	men	So that Elohim forsook the tent of Shilo, the tent which Elohim placed among men;
Psalms 78:65	man	Then YHWH awakened as one out of sleep, like a mighty man who shouts by reason of wine.
Psalms 78:70	him	YHWH also chose Dawid YHWH’s servant, and took him from the sheepfolds;
Psalms 78:71	him	from following the ewes that have their young, Elohim brought him to be the shepherd of Ya'akov, Elohim’s people, and Israel, Elohim’s inheritance.
Psalms 78:72	he, his	So he was their shepherd according to the integrity of his heart, and guided them by the skillfulness of his hands.
Psalms 79:7	his	For they have devoured Ya'akov, and destroyed his homeland.
Psalms 81:5	he	He appointed it in Yosef for a testimony, when he went out over the land of Mitzrayim, I heard a language that I didn't know.
Psalms 81:6	his	"""I removed his shoulder from the burden. His hands were freed from the basket."
Psalms 81:15	him	The haters of YHWH would cringe before him, and their punishment would last forever.
Psalms 81:16	he	"But he would have also fed them with the finest of the wheat. I will satisfy you with honey out of the rock."""
Psalms 82:6	sons	"I said, ""You are gods, all of you are sons of the Most High."
Psalms 82:7	men	"Nevertheless you shall die like men, and fall like one of the rulers."""
Psalms 83:11	princes	Make their nobles like Oreb and Zeeb; yes, all their princes like Zebah and Zalmunna;
Psalms 84:3	king	Yes, the sparrow has found a home, and the swallow a nest for herself, where she may have her young, near your altars, YHWH of Armies, my King, and my God.
Psalms 85:9	his, him	Surely his salvation is near those who revere him, that glory may dwell in our land.
Psalms 85:13	him, his	Righteousness goes before him, And prepares the way for his steps.
Psalms 86:14	men	Elohim, the proud have risen up against me. A company of violent men have sought after my soul, and they don't hold regard for you before them.
Psalms 86:16	son	Turn to me, and have mercy on me! Give your strength to your servant. Save the son of your handmaid.
Psalms 87:1	his	His foundation is in the holy mountains.
Psalms 89:6	sons	For who in the skies can be compared to YHWH? Who among the sons of the heavenly beings is like YHWH,
Psalms 89:7	him	a very awesome Elohim in the council of the holy ones, to be feared above all those who are around him?
Psalms 89:18	king	For our shield belongs to YHWH; our king to the Holy One of Israel.
Psalms 89:20	him	I have found Dawid, my servant. I have anointed him with my holy oil,
Psalms 89:21	him	with whom my hand shall be established. My arm will also strengthen him.
Psalms 89:22	him	No enemy will tax him. No broken person will oppress him.
Psalms 89:23	his, him	I will beat down his adversaries before him, and strike those who hate him.
Psalms 89:24	him, his	But my faithfulness and my loving kindness will be with him. In my name, his horn will be exalted.
Psalms 89:25	his	I will set his hand also on the sea, and his right hand on the rivers.
Psalms 89:26	he	He will call to me, 'You are my Cosmic Parent, my God, and the rock of my salvation!'
Psalms 89:27	him, kings	I will also appoint him my firstborn, the highest of the kings of the earth.
Psalms 89:28	him	I will keep my loving kindness for him forevermore. My covenant will stand firm with him.
Psalms 89:29	his	I will also make his seed endure forever, and his throne as the days of heavens.
Psalms 89:30	his	If his children forsake my law, and don't walk in my ordinances;
Psalms 89:33	him	But I will not completely take my loving kindness from him, nor allow my faithfulness to fail.
Psalms 89:36	his	His seed will endure forever, his throne like the sun before me.
Psalms 89:39	his	You have renounced the covenant of your servant. You have defiled his crown in the dust.
Psalms 89:40	his	You have broken down all his hedges. You have brought his strongholds to ruin.
Psalms 89:41	him, he, his	All who pass by the way rob him. He has become a reproach to his neighbors.
Psalms 89:42	his	You have exalted the right hand of his adversaries. You have made all of his enemies rejoice.
Psalms 89:43	his, him	Yes, you turn back the edge of his sword, and haven't supported him in battle.
Psalms 89:44	his	You have ended his splendor, and thrown his throne down to the ground.
Psalms 89:45	his, him	You have shortened the days of his youth. You have covered him with shame. Selah.
Psalms 89:52	amen	Blessed be YHWH forevermore. Amen, and Amen.
