reference	text
Psalms 8:9	YHWH, our YHWH, how majestic is your name in all the earth!
Psalms 9:1	I will give thanks to YHWH with my whole heart. I will tell of all your marvelous works.
Psalms 9:2	I will be glad and rejoice in you. I will sing praise to your name, O Most High.
Psalms 9:3	When my enemies turn back, they stumble and perish in your presence.
Psalms 9:4	For you have maintained my just cause. You sit on the throne judging righteously.
Psalms 9:5	You have rebuked the nations. You have destroyed the wicked. You have blotted out their name forever and ever.
Psalms 9:6	The enemy is overtaken by endless ruin. The very memory of the cities which you have overthrown has perished.
Psalms 9:7	But YHWH reigns forever. YHWH has prepared YHWH’s throne for judgment.
Psalms 9:8	YHWH will judge the world in righteousness. YHWH will administer judgment to the peoples in uprightness.
Psalms 9:9	YHWH will also be a high tower for the oppressed; a high tower in times of trouble.
Psalms 9:10	Those who know your name will put their trust in you, for you, YHWH, have not forsaken those who seek you.
Psalms 9:11	Sing praises to YHWH, who dwells in Tzion, and declare among the people what YHWH has done.
Psalms 9:12	For the one who avenges blood remembers them. He doesn't forget the cry of the afflicted.
Psalms 9:13	Have mercy on me, YHWH. See my affliction by those who hate me, and lift me up from the gates of death;
Psalms 9:14	that I may show forth all your praise. In the gates of the daughter of Tzion, I will rejoice in your salvation.
Psalms 9:15	The nations have sunk down in the pit that they made. In the net which they hid, their own foot is taken.
Psalms 9:16	YHWH has become known. YHWH has executed judgment. The wicked is snared by the work of YHWH’s own hands. Meditation. Selah.
Psalms 9:17	The wicked shall be turned back to Sheol, even all the nations that forget Elohim.
Psalms 9:18	For the needy shall not always be forgotten, nor the hope of the poor perish forever.
Psalms 9:19	Arise, YHWH! Don't let man prevail. Let the nations be judged in your sight.
Psalms 9:20	Put them in fear, YHWH. Let the nations know that they are only men. Selah.
Psalms 10:1	Why do you stand far off, YHWH? Why do you hide yourself in times of trouble?
Psalms 10:2	In arrogance, the wicked hunt down the weak. They are caught in the schemes that they devise.
Psalms 10:3	For the wicked boasts of his heart's cravings. He blesses the greedy, and condemns YHWH.
Psalms 10:4	The wicked, in the pride of his face, has no room in his thoughts for Elohim.
Psalms 10:5	His ways are prosperous at all times. He is haughty, and your laws are far from his sight. As for all his adversaries, he sneers at them.
Psalms 10:6	"He says in his heart, ""I shall not be shaken. For generations I shall have no trouble."""
Psalms 10:7	His mouth is full of cursing, deceit, and oppression. Under his tongue is mischief and iniquity.
Psalms 10:8	He lies in wait near the villages. From ambushes, he murders the innocent. His eyes are secretly set against the helpless.
Psalms 10:9	He lurks in secret as a lion in his ambush. He lies in wait to catch the helpless. He catches the helpless, when he draws him in his net.
Psalms 10:10	The helpless are crushed. They collapse. They fall under his strength.
Psalms 10:11	"He says in his heart, ""Elohim has forgotten. Elohim hides Elohim’s face. Elohim will never see it."""
Psalms 10:12	Arise, YHWH! Elohim, lift up your hand! Don't forget the helpless.
Psalms 10:13	"Why does the wicked person condemn Elohim, and say in his heart, ""Elohim won't call me into account?"""
Psalms 10:14	But you do see trouble and grief. You consider it to take it into your hand. You help the victim and the fatherless.
Psalms 10:15	Break the arm of the wicked. As for the brokenness man, seek out his wickedness until you find none.
Psalms 10:16	YHWH is King forever and ever! The nations will perish out of his land.
Psalms 10:17	YHWH, you have heard the desire of the humble. You will prepare their heart. You will cause your ear to hear,
Psalms 10:18	to judge the fatherless and the oppressed, that man who is of the earth may terrify no more.
Psalms 11:1	"In YHWH, I take refuge. How can you say to my soul, ""Flee as a bird to your mountain!"""
Psalms 11:2	For, behold, the wicked bend their bows. They set their arrows on the strings, that they may shoot in darkness at the upright in heart.
Psalms 11:3	If the foundations are destroyed, what can the righteous do?
Psalms 11:4	YHWH is in YHWH’s holy temple. YHWH is on YHWH’s throne in heavens. YHWH’s eyes observe. YHWH’s eyes examine the children of people.
Psalms 11:5	YHWH examines the righteous, but the wicked and the one who loves violence their soul hates.
Psalms 11:6	On the wicked YHWH will rain blazing coals; fire, sulfur, and scorching wind shall be the portion of their cup.
Psalms 11:7	For YHWH is righteous. YHWH loves righteousness. The upright shall see YHWH’s face.
Psalms 12:1	Help, YHWH; for the godly man ceases. For the faithful fail from among the children of people.
Psalms 12:2	Everyone lies to their neighbor. They speak with flattering lips, and with a double heart.
Psalms 12:3	May YHWH cut off all flattering lips, and the tongue that boasts,
Psalms 12:4	"who have said, ""With our tongue we will prevail. Our lips are our own. Who is lord over us?"""
Psalms 12:5	"""Because of the oppression of the weak and because of the groaning of the needy, I will now arise,"" says YHWH; ""I will set him in safety from those who malign him."""
Psalms 12:6	The words of YHWH are flawless words, as silver refined in a clay furnace, purified seven times.
Psalms 12:7	You will keep them, YHWH. You will preserve them from this generation forever.
Psalms 12:8	The wicked walk on every side, when what is vile is exalted among the human beings.
Psalms 13:1	How long, YHWH? Will you forget me forever? How long will you hide your face from me?
Psalms 13:2	How long shall I take counsel in my soul, having sorrow in my heart every day? How long shall my enemy triumph over me?
Psalms 13:3	Behold, and answer me, YHWH, my God. Give light to my eyes, lest I sleep in death;
Psalms 13:4	"Lest my enemy say, ""I have prevailed against him;"" Lest my adversaries rejoice when I fall."
Psalms 13:5	But I trust in your loving kindness. My heart rejoices in your salvation.
Psalms 13:6	I will sing to YHWH, because he has been good to me.
Psalms 14:1	"The fool has said in their heart, ""There is no Elohim."" They are corrupt. They have done abominable works. There is none who does good."
Psalms 14:2	YHWH looked down from heavens on the children of people, to see if there were any who did understand, who did seek after Elohim.
Psalms 14:3	They have all gone aside. They have together become corrupt. There is none who does good, no, not one.
Psalms 14:4	Have all the workers of iniquity no knowledge, who eat up my people as they eat bread, and don't call on YHWH?
Psalms 14:5	There they were in great fear, for Elohim is in the generation of the righteous.
Psalms 14:6	You frustrate the plan of the poor, because YHWH is his refuge.
Psalms 14:7	Oh that the salvation of Israel would come out of Tzion! When YHWH restores the fortunes of YHWH’s people, then Ya'akov shall rejoice, and Israel shall be glad.
Psalms 15:1	YHWH, who shall dwell in your sanctuary? Who shall live on your holy hill?
Psalms 15:2	The one who walks blamelessly does what is right, and speaks truth in their heart;
Psalms 15:3	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;
Psalms 15:4	In whose eyes a vile person is despised, but who honors those who revere YHWH; the one who keeps an oath even when it hurts, and doesn't change;
Psalms 15:5	the one who doesn't lend out their money for usury, nor take a bribe against the innocent. The one who does these things shall never be shaken.
Psalms 16:1	Preserve me, Elohim, for in you do I take refuge.
Psalms 16:2	"My soul, you have said to YHWH, ""You are my YHWH. Apart from you I have no good thing."""
Psalms 16:3	As for the saints who are in the earth, they are the excellent ones in whom is all my delight.
Psalms 16:4	Their sorrows shall be multiplied who give gifts to another god. Their drink offerings of blood I will not offer, nor take their names on my lips.
Psalms 16:5	YHWH assigned my portion and my cup. You made my lot secure.
Psalms 16:6	The lines have fallen to me in pleasant places. Yes, I have a good inheritance.
Psalms 16:7	I will bless YHWH, who has given me counsel. Yes, my heart instructs me in the night seasons.
Psalms 16:8	I have set YHWH always before me. Because he is at my right hand, I shall not be moved.
Psalms 16:9	Therefore my heart is glad, and my tongue rejoices. My body shall also dwell in safety.
Psalms 16:10	For you will not leave my soul in Sheol, neither will you allow your holy one to see corruption.
Psalms 16:11	You will show me the path of life. In your presence is fullness of joy. In your right hand there are pleasures forevermore.
Psalms 17:1	Hear, YHWH, my righteous plea; Give ear to my prayer, that doesn't go out of deceitful lips.
Psalms 17:2	Let my sentence come forth from your presence. Let your eyes look on equity.
Psalms 17:3	You have proved my heart. You have visited me in the night. You have tried me, and found nothing. I have resolved that my mouth shall not disobey.
Psalms 17:4	As for the works of people, by the word of your lips, I have kept myself from the ways of the violent.
Psalms 17:5	My steps have held fast to your paths. My feet have not slipped.
Psalms 17:6	I have called on you, for you will answer me, Elohim. Turn your ear to me. Hear my speech.
Psalms 17:7	Show your marvelous loving kindness, you who save those who take refuge by your right hand from their enemies.
Psalms 17:8	Keep me as the apple of your eye. Hide me under the shadow of your wings,
Psalms 17:9	from the wicked who oppress me, my deadly enemies, who surround me.
Psalms 17:10	They close up their callous hearts. With their mouth they speak proudly.
Psalms 17:11	They have now surrounded us in our steps. They set their eyes to cast us down to the earth.
Psalms 17:12	He is like a lion that is greedy of his prey, as it were a young lion lurking in secret places.
Psalms 17:13	Arise, YHWH, confront him. Cast him down. Deliver my soul from the wicked by your sword;
Psalms 17:14	from people by your hand, YHWH, from people of the world, whose portion is in this life. You fill the belly of your cherished ones. Your sons have plenty, and they store up wealth for their children.
Psalms 17:15	As for me, I shall see your face in righteousness. I shall be satisfied, when I awake, with seeing your form.
Psalms 18:1	I love you, YHWH, my strength.
Psalms 18:2	YHWH is my rock, my fortress, and my deliverer; my God, my rock, in whom I take refuge; my shield, and the horn of my salvation, my high tower.
Psalms 18:3	I call on YHWH, who is worthy to be praised; and I am saved from my enemies.
Psalms 18:4	The cords of death surrounded me. The floods of ungodliness made me afraid.
Psalms 18:5	The cords of Sheol were around me. The snares of death came on me.
Psalms 18:6	In my distress I called on YHWH, and cried to my God. YHWH heard my voice out of YHWH’s temple. My cry before YHWH came into YHWH’s ears.
Psalms 18:7	Then the earth shook and trembled. The foundations also of the mountains quaked and were shaken, because YHWH was angry.
Psalms 18:8	Smoke went out from YHWH’s nostrils. Consuming fire came out from YHWH’s mouth. Coals were kindled by it.
Psalms 18:9	YHWH bowed the heavens also, and came down. Thick darkness was under YHWH’s feet.
Psalms 18:10	YHWH rode on a cherub, and flew. Yes, YHWH soared on the wings of the wind.
Psalms 18:11	YHWH made darkness YHWH’s hiding place, YHWH’s pavilion around YHWH, darkness of waters, thick clouds of the skies.
Psalms 18:12	At the brightness before YHWH, YHWH’s thick clouds passed, hailstones and coals of fire.
Psalms 18:13	YHWH also thundered in the heavens. The Most High uttered the Most High’s voice: hailstones and coals of fire.
Psalms 18:14	YHWH sent out YHWH’s arrows, and scattered them; Yes, great lightning bolts, and routed them.
Psalms 18:15	Then the channels of waters appeared. The foundations of the world were laid bare at your rebuke, YHWH, at the blast of the breath of your nostrils.
Psalms 18:16	YHWH sent from on high. YHWH took me. YHWH drew me out of many waters.
Psalms 18:17	YHWH delivered me from my strong enemy, from those who hated me; for they were too mighty for me.
Psalms 18:18	They came on me in the day of my calamity, but YHWH was my support.
Psalms 18:19	YHWH brought me forth also into a large place. YHWH delivered me, because YHWH delighted in me.
Psalms 18:20	YHWH has rewarded me according to my righteousness. According to the cleanness of my hands has YHWH recompensed me.
Psalms 18:21	For I have kept the ways of YHWH, and have not wickedly departed from my God.
Psalms 18:22	For all YHWH’s ordinances were before me. I didn't put away YHWH’s statutes from me.
Psalms 18:23	I was also blameless with YHWH. I kept myself from my iniquity.
Psalms 18:24	Therefore YHWH has rewarded me according to my righteousness, according to the cleanness of my hands in YHWH’s eyesight.
Psalms 18:25	With the merciful you will show yourself merciful. With the perfect man, you will show yourself perfect.
Psalms 18:26	With the pure, you will show yourself pure. With the crooked you will show yourself shrewd.
Psalms 18:27	For you will save the afflicted people, but the haughty eyes you will bring down.
Psalms 18:28	For you will light my lamp, YHWH. my God will light up my darkness.
Psalms 18:29	For by you, I advance through a troop. By my God, I leap over a wall.
Psalms 18:30	Elohim’s way is perfect. The word of YHWH is tried. YHWH is a shield to all those who take refuge in YHWH.
Psalms 18:31	For who is Elohim, except YHWH? Who is a rock, besides our God,
Psalms 18:32	Elohim, the one who arms me with strength, and makes my way perfect?
Psalms 18:33	YHWH makes my feet like deer's feet, and sets me on my high places.
Psalms 18:34	YHWH teaches my hands to war, so that my arms bend a bow of bronze.
Psalms 18:35	You have also given me the shield of your salvation. Your right hand sustains me. Your gentleness has made me great.
Psalms 18:36	You have enlarged my steps under me, My feet have not slipped.
Psalms 18:37	I will pursue my enemies, and overtake them. Neither will I turn again until they are consumed.
Psalms 18:38	I will strike them through, so that they will not be able to rise. They shall fall under my feet.
Psalms 18:39	For you have girded me with strength to the battle. You have subdued under me those who rose up against me.
Psalms 18:40	You have also made my enemies turn their backs to me, that I might cut off those who hate me.
Psalms 18:41	They cried, but there was none to save; even to YHWH, but YHWH didn't answer them.
Psalms 18:42	Then I beat them small as the dust before the wind. I cast them out as the mire of the streets.
Psalms 18:43	You have delivered me from the strivings of the people. You have made me the head of the nations. A people whom I have not known shall serve me.
Psalms 18:44	As soon as they hear of me they shall obey me. The foreigners shall submit themselves to me.
Psalms 18:45	The foreigners shall fade away, and shall come trembling out of their close places.
Psalms 18:46	YHWH lives; and blessed be my rock. Exalted be the God of my salvation,
Psalms 18:47	even Elohim, the one who executes vengeance for me, and subdues peoples under me.
Psalms 18:48	Elohim rescues me from my enemies. Yes, you lift me up above those who rise up against me. You deliver me from the violent man.
Psalms 18:49	Therefore I will give thanks to you, YHWH, among the nations, and will sing praises to your name.
Psalms 18:50	YHWH gives great deliverance to YHWH’s king, and shows loving kindness to YHWH’s anointed, to Dawid and to his seed, forevermore.
Psalms 19:1	The heavens declare the glory of Elohim. The expanse shows his handiwork.
Psalms 19:2	Day after day they pour forth speech, and night after night they display knowledge.
Psalms 19:3	There is no speech nor language, where their voice is not heard.
Psalms 19:4	Their voice has gone out through all the earth, their words to the end of the world. In them he has set a tent for the sun,
Psalms 19:5	which is as a bridegroom coming out of his chamber, like a strong man rejoicing to run his course.
Psalms 19:6	His going forth is from the end of the heavens, his circuit to its ends; There is nothing hidden from its heat.
Psalms 19:7	YHWH's law is perfect, restoring the soul. YHWH's testimony is sure, making wise the simple.
Psalms 19:8	YHWH's precepts are right, rejoicing the heart. YHWH's commandment is pure, enlightening the eyes.
Psalms 19:9	Reverence for YHWH is clean, enduring forever. YHWH's ordinances are true, and righteous altogether.
Psalms 19:10	More to be desired are they than gold, yes, than much fine gold; sweeter also than honey and the extract of the honeycomb.
Psalms 19:11	Moreover by them is your servant warned. In keeping them there is great reward.
Psalms 19:12	Who can discern his errors? Forgive me from hidden errors.
Psalms 19:13	Keep back your servant also from presumptuous sins. Let them not have dominion over me. Then I will be upright. I will be blameless and innocent of great transgression.
Psalms 19:14	Let the words of my mouth and the meditation of my heart be acceptable in your sight, YHWH, my rock, and my redeemer.
Psalms 20:1	May YHWH answer you in the day of trouble. May the name of the God of Ya'akov set you up on high,
Psalms 20:2	send you help from the sanctuary, grant you support from Tzion,
Psalms 20:3	remember all your offerings, and accept your burnt sacrifice. Selah.
Psalms 20:4	May He grant you your heart's desire, and fulfill all your counsel.
Psalms 20:5	We will triumph in your salvation. In the name of our God, we will set up our banners. May YHWH grant all your requests.
Psalms 20:6	Now I know that YHWH saves YHWH’s anointed. YHWH will answer him from YHWH’s holy heavens, with the saving strength of YHWH’s right hand.
Psalms 20:7	Some trust in chariots, and some in horses, but we trust the name of YHWH our God.
Psalms 20:8	They are bowed down and fallen, but we rise up, and stand upright.
Psalms 20:9	Save, YHWH! Let the King answer us when we call!
Psalms 21:1	The king rejoices in your strength, YHWH! How greatly he rejoices in your salvation!
Psalms 21:2	You have given him his heart's desire, and have not withheld the request of his lips. Selah.
Psalms 21:3	For you meet him with the blessings of goodness. You set a crown of fine gold on his head.
Psalms 21:4	He asked life of you, you gave it to him, even length of days forever and ever.
Psalms 21:5	His glory is great in your salvation. You lay honor and majesty on him.
Psalms 21:6	For you make him most blessed forever. You make him glad with joy in your presence.
Psalms 21:7	For the king trusts in YHWH. Through the loving kindness of the Most High, he shall not be moved.
Psalms 21:8	Your hand will find out all of your enemies. Your right hand will find out those who hate you.
Psalms 21:9	You will make them as a fiery furnace in the time of your anger. YHWH will swallow them up in YHWH’s wrath. The fire shall devour them.
Psalms 21:10	You will destroy their descendants from the earth, their posterity from among the children of people.
Psalms 21:11	For they intended brokenness against you. They plotted brokenness against you which cannot succeed.
Psalms 21:12	For you will make them turn their back, when you aim drawn bows at their face.
Psalms 21:13	Be exalted, YHWH, in your strength, so we will sing and praise your power.
Psalms 22:1	my God, my God, why have you forsaken me? Why are you so far from helping me, and from the words of my groaning?
Psalms 22:2	my God, I cry in the daytime, but you don't answer; in the night season, and am not silent.
Psalms 22:3	But you are holy, you who inhabit the praises of Israel.
Psalms 22:4	Our fathers trusted in you. They trusted, and you delivered them.
Psalms 22:5	They cried to you, and were delivered. They trusted in you, and were not disappointed.
Psalms 22:6	But I am a worm, and no one; a reproach of people, and despised by the people.
Psalms 22:7	All those who see me mock me. They insult me with their lips. They shake their heads, saying,
Psalms 22:8	"""He trusts in YHWH; let him deliver him. Let him rescue him, since he delights in him."""
Psalms 22:9	But you brought me out of the womb. You made me trust at my mother's breasts.
Psalms 22:10	I was thrown on you from my mother's womb. You are my God since my mother bore me.
Psalms 22:11	Don't be far from me, for trouble is near. For there is none to help.
Psalms 22:12	Many bulls have surrounded me. Strong bulls of Bashan have encircled me.
Psalms 22:13	They open their mouths wide against me, lions tearing prey and roaring.
Psalms 22:14	I am poured out like water. All my bones are out of joint. My heart is like wax; it is melted within me.
Psalms 22:15	My strength is dried up like a potsherd. My tongue sticks to the roof of my mouth. You have brought me into the dust of death.
Psalms 22:16	For dogs have surrounded me. A company of people who act from brokenness have enclosed me. Like a lion, they pin my hands and feet.
Psalms 22:17	I can count all of my bones. They look and stare at me.
Psalms 22:18	They divide my garments among them. They cast lots for my clothing.
Psalms 22:19	But don't be far off, YHWH. You are my help: hurry to help me.
Psalms 22:20	Deliver my soul from the sword, my precious life from the power of the dog.
Psalms 22:21	Save me from the lion's mouth! Yes, from the horns of the wild oxen, you have answered me.
Psalms 22:22	I will declare your name to my brothers. In the midst of the assembly, I will praise you.
Psalms 22:23	You who revere YHWH, praise YHWH! All you descendants of Ya'akov, glorify YHWH! Stand in awe of YHWH, all you descendants of Israel!
Psalms 22:24	For YHWH has not despised nor abhorred the affliction of the afflicted, Neither has YHWH hidden YHWH’s face from him; but when he cried to YHWH, YHWH heard.
Psalms 22:25	Of you comes my praise in the great assembly. I will pay my vows before those who revere him.
Psalms 22:26	The humble shall eat and be satisfied. They shall praise YHWH who seek after YHWH. Let your hearts live forever.
Psalms 22:27	All the ends of the earth shall remember and turn to YHWH. All the relatives of the nations shall worship before you.
Psalms 22:28	For the kingdom is YHWH's. YHWH is the ruler over the nations.
Psalms 22:29	All the rich ones of the earth shall eat and worship. All those who go down to the dust shall bow before him, even the one who can't keep their soul alive.
Psalms 22:30	Posterity shall serve him. Future generations shall be told about YHWH.
Psalms 22:31	They shall come and shall declare YHWH’s righteousness to a people that shall be born, for YHWH has done it.
Psalms 23:1	YHWH is my shepherd: I shall lack nothing.
Psalms 23:2	YHWH makes me lie down in green pastures. YHWH leads me beside still waters.
Psalms 23:3	YHWH restores my soul. YHWH guides me in the paths of righteousness for YHWH’s name's sake.
Psalms 23:4	Even though I walk through the valley of the shadow of death, I will fear no brokenness, for you are with me. Your rod and your staff, they comfort me.
Psalms 23:5	You prepare a table before me in the presence of my enemies. You anoint my head with oil. My cup runs over.
Psalms 23:6	Surely goodness and loving kindness shall follow me all the days of my life, and I will dwell in YHWH's house forever.
Psalms 24:1	The earth is YHWH's, with its fullness; the world, and those who dwell therein.
Psalms 24:2	For YHWH has founded it on the seas, and established it on the floods.
Psalms 24:3	Who may ascend to YHWH's hill? Who may stand in YHWH’s holy place?
Psalms 24:4	The one who has clean hands and a pure heart; who has not lifted up their soul to falsehood, and has not sworn deceitfully.
Psalms 24:5	He shall receive a blessing from YHWH, righteousness from the God of his salvation.
Psalms 24:6	This is the generation of those who seek Him, who seek your face-- even Ya'akov. Selah.
Psalms 24:7	Lift up your heads, you gates! Be lifted up, you everlasting doors, and the King of glory will come in.
Psalms 24:8	Who is the King of glory? YHWH strong and mighty, YHWH mighty in battle.
Psalms 24:9	Lift up your heads, you gates; yes, lift them up, you everlasting doors, and the King of glory will come in.
Psalms 24:10	Who is this King of glory? YHWH of Armies is the King of glory! Selah.
Psalms 25:1	To you, YHWH, do I lift up my soul.
Psalms 25:2	my God, I have trusted in you. Don't let me be shamed. Don't let my enemies triumph over me.
Psalms 25:3	Yes, no one who waits for you shall be shamed. They shall be shamed who deal treacherously without cause.
Psalms 25:4	Show me your ways, YHWH. Teach me your paths.
Psalms 25:5	Guide me in your truth, and teach me, For you are the God of my salvation, I wait for you all day long.
Psalms 25:6	YHWH, remember your tender mercies and your loving kindness, for they are from old times.
Psalms 25:7	Don't remember the sins of my youth, nor my transgressions. Remember me according to your loving kindness, for your goodness' sake, YHWH.
Psalms 25:8	Good and upright is YHWH, therefore YHWH will instruct sinners in the way.
Psalms 25:9	YHWH will guide the humble in justice. YHWH will teach the humble YHWH’s way.
Psalms 25:10	All the paths of YHWH are loving kindness and truth to such as keep YHWH’s covenant and YHWH’s testimonies.
Psalms 25:11	For your name's sake, YHWH, pardon my iniquity, for it is great.
Psalms 25:12	What a person is the one who reveres YHWH? YHWH shall instruct him in the way that he shall choose.
Psalms 25:13	His soul shall dwell at ease. His seed shall inherit the land.
Psalms 25:14	The friendship of YHWH is with those who revere YHWH. YHWH will show them YHWH’s covenant.
Psalms 25:15	My eyes are ever on YHWH, for he will pluck my feet out of the net.
